global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,10004,0,0.0,20528208.0,20528208.0,10077372.0,10077372.0,403.09488,0,0.0,0.0,0.0,403.09488,2026.0,4911.0
1,0,1,controller,32,7,4:0;5:0;6:0;6:1;6:2;6:3;7:0,9988,5376,0.5382458950740889,14990352.0,20495376.0,9919368.0,4969352.0,396.77472,171,51.5012788772583,8806.71868801117,51.5012788772583,250.2753588772583,2598.0,4834.0
2,0,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10332,8134,0.7872628726287263,12872048.0,21201264.0,11232648.0,5627272.0,449.30592,261,51.5012788772583,13441.833786964417,51.5012788772583,276.59215887725827,2661.0,5474.0
3,0,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,11573,9751,0.8425645899939515,13762772.0,23747796.0,13077396.0,6551444.0,523.09584,313,51.5012788772583,16119.900288581848,51.5012788772583,313.5590388772583,3164.0,6373.0
4,0,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10119,7743,0.7651941891491254,12835356.0,20764188.0,10288728.0,5154392.0,411.54912,249,51.5012788772583,12823.818440437317,51.5012788772583,257.6769588772583,2493.0,5014.0
5,0,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9591,6946,0.7242206235011991,12568028.0,19680732.0,9396108.0,4707212.0,375.84432,226,51.5012788772583,11639.289026260376,51.5012788772583,239.7897588772583,2396.0,4579.0
6,0,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10841,8673,0.8000184484826123,13364580.0,22245732.0,11704608.0,5863712.0,468.18432,280,51.5012788772583,14420.358085632324,51.5012788772583,286.04975887725834,3099.0,5704.0
7,0,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9917,7531,0.7594030452757891,12637940.0,20349684.0,10024020.0,5021780.0,400.9608,242,51.5012788772583,12463.309488296509,51.5012788772583,252.3724788772583,3335.0,4885.0
8,0,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10362,8062,0.7780351283535997,13007336.0,21262824.0,10937160.0,5479240.0,437.4864,261,51.5012788772583,13441.833786964417,51.5012788772583,270.6708788772583,2528.0,5330.0
9,0,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10504,8229,0.7834158415841584,13127712.0,21554208.0,11154672.0,5588208.0,446.18688,267,51.5012788772583,13750.841460227966,51.5012788772583,275.0295988772583,2884.0,5436.0
10,0,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10515,8262,0.785734664764622,13116492.0,21576780.0,11224440.0,5623160.0,448.9776,266,51.5012788772583,13699.340181350708,51.5012788772583,276.4276788772583,2662.0,5470.0
11,0,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10387,8253,0.7945508809088283,12863052.0,21314124.0,11060280.0,5540920.0,442.4112,266,51.5012788772583,13699.340181350708,51.5012788772583,273.1380788772583,2774.0,5390.0
