global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,10410,0,0.0,21361320.0,21361320.0,4243536.0,4243536.0,169.74144,0,0.0,0.0,0.0,169.74144,2068.0,1747.0
1,0,1,uniform_full,32,0,,10364,0,0.0,21266928.0,21266928.0,3597156.0,3597156.0,143.88624,0,0.0,0.0,0.0,143.88624,1753.0,1749.0
2,0,2,uniform_full,32,0,,10374,0,0.0,21287448.0,21287448.0,3517128.0,3517128.0,140.68512,0,0.0,0.0,0.0,140.68512,1681.0,1714.0
3,0,3,uniform_full,32,0,,10305,0,0.0,21145860.0,21145860.0,4290732.0,4290732.0,171.62928,0,0.0,0.0,0.0,171.62928,2091.0,1874.0
4,0,4,uniform_full,32,0,,10066,0,0.0,20655432.0,20655432.0,4575960.0,4575960.0,183.0384,0,0.0,0.0,0.0,183.0384,2230.0,1543.0
5,0,5,uniform_full,32,0,,10328,0,0.0,21193056.0,21193056.0,3898800.0,3898800.0,155.952,0,0.0,0.0,0.0,155.952,1698.0,1900.0
6,0,6,uniform_full,32,0,,10158,0,0.0,20844216.0,20844216.0,4473360.0,4473360.0,178.9344,0,0.0,0.0,0.0,178.9344,2180.0,1590.0
7,0,7,uniform_full,32,0,,10315,0,0.0,21166380.0,21166380.0,4458996.0,4458996.0,178.35984,0,0.0,0.0,0.0,178.35984,2173.0,1712.0
8,0,8,uniform_full,32,0,,10411,0,0.0,21363372.0,21363372.0,3418632.0,3418632.0,136.74528,0,0.0,0.0,0.0,136.74528,1661.0,1666.0
9,0,9,uniform_full,32,0,,10278,0,0.0,21090456.0,21090456.0,3956256.0,3956256.0,158.25024,0,0.0,0.0,0.0,158.25024,1928.0,1618.0
10,0,10,uniform_full,32,0,,10298,0,0.0,21131496.0,21131496.0,3580740.0,3580740.0,143.2296,0,0.0,0.0,0.0,143.2296,1745.0,1633.0
11,0,11,uniform_full,32,0,,10385,0,0.0,21310020.0,21310020.0,3984984.0,3984984.0,159.39936,0,0.0,0.0,0.0,159.39936,1942.0,1737.0
12,0,12,uniform_full,32,0,,10426,0,0.0,21394152.0,21394152.0,3894696.0,3894696.0,155.78784,0,0.0,0.0,0.0,155.78784,1898.0,1662.0
13,0,13,uniform_full,32,0,,10422,0,0.0,21385944.0,21385944.0,4996620.0,4996620.0,199.8648,0,0.0,0.0,0.0,199.8648,2435.0,1903.0
14,0,14,uniform_full,32,0,,10390,0,0.0,21320280.0,21320280.0,3465828.0,3465828.0,138.63312,0,0.0,0.0,0.0,138.63312,1689.0,1641.0
15,0,15,uniform_full,32,0,,10658,0,0.0,21870216.0,21870216.0,4161456.0,4161456.0,166.45824,0,0.0,0.0,0.0,166.45824,1745.0,2028.0
16,1,0,uniform_full,32,0,,9324,0,0.0,19132848.0,19132848.0,4052700.0,4052700.0,162.108,0,0.0,0.0,0.0,162.108,1975.0,1720.0
17,1,1,uniform_full,32,0,,9349,0,0.0,19184148.0,19184148.0,3545856.0,3545856.0,141.83424,0,0.0,0.0,0.0,141.83424,1670.0,1728.0
18,1,2,uniform_full,32,0,,9087,0,0.0,18646524.0,18646524.0,2893320.0,2893320.0,115.7328,0,0.0,0.0,0.0,115.7328,1410.0,1313.0
19,1,3,uniform_full,32,0,,9064,0,0.0,18599328.0,18599328.0,3921372.0,3921372.0,156.85488,0,0.0,0.0,0.0,156.85488,1911.0,1517.0
20,1,4,uniform_full,32,0,,9392,0,0.0,19272384.0,19272384.0,4526712.0,4526712.0,181.06848,0,0.0,0.0,0.0,181.06848,2206.0,1701.0
21,1,5,uniform_full,32,0,,9376,0,0.0,19239552.0,19239552.0,3611520.0,3611520.0,144.4608,0,0.0,0.0,0.0,144.4608,1632.0,1760.0
22,1,6,uniform_full,32,0,,9091,0,0.0,18654732.0,18654732.0,3492504.0,3492504.0,139.70016,0,0.0,0.0,0.0,139.70016,1702.0,1418.0
23,1,7,uniform_full,32,0,,9442,0,0.0,19374984.0,19374984.0,3806460.0,3806460.0,152.2584,0,0.0,0.0,0.0,152.2584,1855.0,1727.0
24,1,8,uniform_full,32,0,,9273,0,0.0,19028196.0,19028196.0,3084156.0,3084156.0,123.36624,0,0.0,0.0,0.0,123.36624,1347.0,1503.0
25,1,9,uniform_full,32,0,,9184,0,0.0,18845568.0,18845568.0,3769524.0,3769524.0,150.78096,0,0.0,0.0,0.0,150.78096,1837.0,1467.0
26,1,10,uniform_full,32,0,,9190,0,0.0,18857880.0,18857880.0,3465828.0,3465828.0,138.63312,0,0.0,0.0,0.0,138.63312,1689.0,1461.0
27,1,11,uniform_full,32,0,,9339,0,0.0,19163628.0,19163628.0,3197016.0,3197016.0,127.88064,0,0.0,0.0,0.0,127.88064,1469.0,1558.0
28,1,12,uniform_full,32,0,,9068,0,0.0,18607536.0,18607536.0,3123144.0,3123144.0,124.92576,0,0.0,0.0,0.0,124.92576,1522.0,1388.0
29,1,13,uniform_full,32,0,,9259,0,0.0,18999468.0,18999468.0,4803732.0,4803732.0,192.14928,0,0.0,0.0,0.0,192.14928,2341.0,1743.0
30,1,14,uniform_full,32,0,,9267,0,0.0,19015884.0,19015884.0,3346812.0,3346812.0,133.87248,0,0.0,0.0,0.0,133.87248,1631.0,1492.0
31,1,15,uniform_full,32,0,,9183,0,0.0,18843516.0,18843516.0,3385800.0,3385800.0,135.432,0,0.0,0.0,0.0,135.432,1650.0,1618.0
