global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,10004,0,0.0,20528208.0,20528208.0,10077372.0,10077372.0,403.09488,0,0.0,0.0,0.0,403.09488,2026.0,4911.0
1,0,1,uniform_full,32,0,,9988,0,0.0,20495376.0,20495376.0,9919368.0,9919368.0,396.77472,0,0.0,0.0,0.0,396.77472,2598.0,4834.0
2,0,2,uniform_full,32,0,,10350,0,0.0,21238200.0,21238200.0,11275740.0,11275740.0,451.0296,0,0.0,0.0,0.0,451.0296,2680.0,5495.0
3,0,3,uniform_full,32,0,,11579,0,0.0,23760108.0,23760108.0,13089708.0,13089708.0,523.58832,0,0.0,0.0,0.0,523.58832,3171.0,6379.0
4,0,4,uniform_full,32,0,,10091,0,0.0,20706732.0,20706732.0,10288728.0,10288728.0,411.54912,0,0.0,0.0,0.0,411.54912,2520.0,5014.0
5,0,5,uniform_full,32,0,,9583,0,0.0,19664316.0,19664316.0,9379692.0,9379692.0,375.18768,0,0.0,0.0,0.0,375.18768,2324.0,4571.0
6,0,6,uniform_full,32,0,,10766,0,0.0,22091832.0,22091832.0,11628684.0,11628684.0,465.14736,0,0.0,0.0,0.0,465.14736,3086.0,5667.0
7,0,7,uniform_full,32,0,,9895,0,0.0,20304540.0,20304540.0,9974772.0,9974772.0,398.99088,0,0.0,0.0,0.0,398.99088,3310.0,4861.0
8,0,8,uniform_full,32,0,,10341,0,0.0,21219732.0,21219732.0,10889964.0,10889964.0,435.59856,0,0.0,0.0,0.0,435.59856,2547.0,5307.0
9,0,9,uniform_full,32,0,,10489,0,0.0,21523428.0,21523428.0,11138256.0,11138256.0,445.53024,0,0.0,0.0,0.0,445.53024,2894.0,5428.0
10,0,10,uniform_full,32,0,,10455,0,0.0,21453660.0,21453660.0,11138256.0,11138256.0,445.53024,0,0.0,0.0,0.0,445.53024,2647.0,5428.0
11,0,11,uniform_full,32,0,,10466,0,0.0,21476232.0,21476232.0,11119788.0,11119788.0,444.79152,0,0.0,0.0,0.0,444.79152,2810.0,5419.0
12,0,12,uniform_full,32,0,,11066,0,0.0,22707432.0,22707432.0,12318156.0,12318156.0,492.72624,0,0.0,0.0,0.0,492.72624,2858.0,6003.0
13,0,13,uniform_full,32,0,,9630,0,0.0,19760760.0,19760760.0,9383796.0,9383796.0,375.35184,0,0.0,0.0,0.0,375.35184,2307.0,4573.0
