global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2294,1819,0.7929380993897123,2844632.0,4707288.0,2526012.0,1265468.0,101.04048,62,51.5012788772583,3193.0792903900146,51.5012788772583,102.1199988772583,545.0,1231.0
1,0,1,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2252,1820,0.8081705150976909,2757424.0,4621104.0,2507544.0,1256216.0,100.30176,63,51.5012788772583,3244.580569267273,51.5012788772583,101.7499188772583,721.0,1222.0
2,0,2,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2557,2027,0.7927258506061791,3171316.0,5246964.0,2887164.0,1446396.0,115.48656,70,51.5012788772583,3605.089521408081,51.5012788772583,109.3571188772583,847.0,1407.0
3,0,3,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,3022,2378,0.786896095301125,3766072.0,6201144.0,3603312.0,1805168.0,144.13248,80,51.5012788772583,4120.102310180664,51.5012788772583,123.7079988772583,925.0,1756.0
4,0,4,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2452,1939,0.7907830342577488,3045968.0,5031504.0,2671704.0,1338456.0,106.86816,66,51.5012788772583,3399.084405899048,51.5012788772583,105.0395188772583,655.0,1302.0
5,0,5,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2155,1697,0.7874709976798144,2684332.0,4422060.0,2355696.0,1180144.0,94.22784,60,51.5012788772583,3090.076732635498,51.5012788772583,98.7070388772583,648.0,1148.0
6,0,6,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2656,2126,0.8004518072289156,3273088.0,5450112.0,3039012.0,1522468.0,121.56048,73,51.5012788772583,3759.593358039856,51.5012788772583,112.3999988772583,777.0,1481.0
7,0,7,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2248,1759,0.7824733096085409,2811680.0,4612896.0,2370060.0,1187340.0,94.8024,62,51.5012788772583,3193.0792903900146,51.5012788772583,98.9948788772583,854.0,1155.0
8,0,8,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2504,1946,0.7771565495207667,3145504.0,5138208.0,2837916.0,1421724.0,113.51664,65,51.5012788772583,3347.5831270217896,51.5012788772583,108.3702388772583,753.0,1383.0
9,0,9,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2598,2045,0.7871439568899153,3237016.0,5331096.0,2903580.0,1454620.0,116.1432,69,51.5012788772583,3553.5882425308228,51.5012788772583,109.6860788772583,820.0,1415.0
10,0,10,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2553,2056,0.8053270661966314,3133412.0,5238756.0,2958984.0,1482376.0,118.35936,71,51.5012788772583,3656.5908002853394,51.5012788772583,110.7963188772583,757.0,1442.0
11,0,11,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2470,1968,0.7967611336032389,3053208.0,5068440.0,2768148.0,1386772.0,110.72592,68,51.5012788772583,3502.0869636535645,51.5012788772583,106.9721588772583,778.0,1349.0
12,0,12,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2772,2212,0.797979797979798,3423056.0,5688144.0,3289356.0,1647884.0,131.57424,76,51.5012788772583,3914.097194671631,51.5012788772583,117.41663887725831,821.0,1603.0
13,0,13,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2156,1683,0.7806122448979592,2700720.0,4424112.0,2265408.0,1134912.0,90.61632,61,51.5012788772583,3141.5780115127563,51.5012788772583,96.8977588772583,604.0,1104.0
14,0,14,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2576,2090,0.8113354037267081,3145792.0,5285952.0,2971296.0,1488544.0,118.85184,70,51.5012788772583,3605.089521408081,51.5012788772583,111.0430388772583,787.0,1448.0
15,0,15,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2169,1695,0.7814661134163209,2715108.0,4450788.0,2404944.0,1204816.0,96.19776,60,51.5012788772583,3090.076732635498,51.5012788772583,99.6939188772583,638.0,1172.0
16,1,0,calib_static,20,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2557,2023,0.7911615174032068,3175412.0,5246964.0,2140236.0,1072204.0,85.60944,69,51.5012788772583,3553.5882425308228,51.5012788772583,94.3894388772583,588.0,1043.0
