request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,1,1,1.1688625812530518,0.2265625,-2.3485500812530518,-1.1688625812530518,-1.3954250812530518,-1.4891750812530518,17.976351540999985,6701,6327,0.9441874347112371,7271604.0
1,abstract_algebra,2,3,0,1.458203673362732,-0.4609375,-2.3722662925720215,-2.6144537925720215,-1.458203673362732,-0.9972661733627319,17.976351540999985,5338,5023,0.9409891345073061,5810024.0
2,abstract_algebra,2,2,1,1.8348660469055176,0.0859375,-1.9676785469055176,-1.9208035469055176,-1.8348660469055176,-2.0379910469055176,17.976351540999985,6316,5975,0.9460101329955668,6842032.0
3,computer_security,1,1,1,0.187892884016037,2.8515625,-3.0394554138183594,-0.187892884016037,-4.133205413818359,-4.062892913818359,17.976351540999985,3264,3063,0.9384191176470589,3561216.0
4,computer_security,2,2,1,1.2731363773345947,0.890625,-2.2340738773345947,-2.3590738773345947,-1.2731363773345947,-2.1637613773345947,17.976351540999985,4691,3974,0.8471541249200597,5556556.0
5,abstract_algebra,0,3,0,1.5241239070892334,-0.3125,-1.5241239070892334,-1.8913114070892334,-1.8444364070892334,-1.2116239070892334,17.976351540999985,4659,3978,0.8538312942691565,5486796.0
6,computer_security,2,2,1,0.8398364186286926,0.4374999403953552,-3.394523859024048,-1.2773363590240479,-0.8398364186286926,-2.136711359024048,17.976351540999985,4795,4073,0.8494264859228363,5668588.0
7,computer_security,0,0,1,1.0322132110595703,0.4140625,-1.0322132110595703,-1.4462757110595703,-2.1259632110595703,-2.1650257110595703,17.976351540999985,3648,0,0.0,7485696.0
8,abstract_algebra,3,3,1,1.4388411045074463,0.2734375,-1.9154036045074463,-1.7122786045074463,-1.8763411045074463,-1.4388411045074463,21.784031125000013,4810,4810,1.0,4944680.0
9,computer_security,2,2,1,0.3556423783302307,2.2421875,-2.925954818725586,-2.597829818725586,-0.3556423783302307,-3.082204818725586,21.784031125000013,4513,4513,1.0,4639364.0
10,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,21.784031125000013,3734,3734,1.0,3838552.0
11,abstract_algebra,2,3,0,1.7603105306625366,-0.203125,-2.096248149871826,-1.9321855306625366,-1.7603105306625366,-1.5571855306625366,21.784031125000013,5084,5084,1.0,5226352.0
12,abstract_algebra,2,3,0,1.7448512315750122,-0.4140625,-2.4011011123657227,-1.8151637315750122,-1.7448512315750122,-1.3307887315750122,21.784031125000013,6349,6349,1.0,6526772.0
13,abstract_algebra,3,3,1,1.6704342365264893,0.078125,-2.1313717365264893,-1.8969967365264893,-1.7485592365264893,-1.6704342365264893,21.784031125000013,4816,4816,1.0,4950848.0
14,computer_security,2,2,1,1.117764949798584,0.6640625,-1.984952449798584,-1.781827449798584,-1.117764949798584,-1.906827449798584,21.784031125000013,7427,7427,1.0,7634956.0
15,computer_security,1,1,1,1.3012219667434692,0.1875,-1.7855969667434692,-1.3012219667434692,-1.4887219667434692,-1.7465344667434692,21.784031125000013,6728,5818,0.8647443519619501,7848224.0
