request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,1,1,1.2707880735397339,0.015625,-1.9973505735397339,-1.2707880735397339,-1.2864130735397339,-1.5989130735397339,9.624815042000009,6704,0,0.0,13756608.0
1,abstract_algebra,2,3,0,1.7447052001953125,-0.7812499403953552,-1.9243927001953125,-2.4087677001953125,-1.7447052001953125,-0.9634552597999573,9.624815042000009,5331,0,0.0,10939212.0
2,abstract_algebra,2,3,0,1.8900763988494873,-0.046875,-1.9838263988494873,-2.0150763988494873,-1.8900763988494873,-1.8432013988494873,9.624815042000009,6301,0,0.0,12929652.0
3,computer_security,1,1,1,0.4013724625110626,2.2890625,-2.6904349327087402,-0.4013724625110626,-3.4248099327087402,-3.1669974327087402,9.624815042000009,3264,0,0.0,6697728.0
4,computer_security,2,2,1,0.9384077787399292,1.1250001192092896,-2.5712203979492188,-2.3212203979492188,-0.9384077787399292,-2.0634078979492188,9.624815042000009,4793,0,0.0,9835236.0
5,abstract_algebra,0,3,0,1.7872065305709839,-0.359375,-1.7872065305709839,-1.8653315305709839,-1.9903315305709839,-1.4278315305709839,9.624815042000009,4697,0,0.0,9638244.0
6,computer_security,2,2,1,0.6943359375,0.8359375,-2.9365234375,-1.5302734375,-0.6943359375,-2.2021484375,9.624815042000009,4951,0,0.0,10159452.0
7,computer_security,0,0,1,1.0322132110595703,0.4140625,-1.0322132110595703,-1.4462757110595703,-2.1259632110595703,-2.1650257110595703,9.624815042000009,3648,0,0.0,7485696.0
8,abstract_algebra,3,3,1,1.7452828884124756,0.1015625,-2.1905953884124756,-2.1515328884124756,-1.8468453884124756,-1.7452828884124756,10.537131291999998,4823,0,0.0,9896796.0
9,computer_security,2,2,1,0.303458571434021,2.5703125,-3.5456461906433105,-2.9987711906433105,-0.303458571434021,-2.8737711906433105,10.537131291999998,4496,0,0.0,9225792.0
10,abstract_algebra,1,1,1,1.0699081420898438,0.6328125,-1.7027206420898438,-1.0699081420898438,-2.1011581420898438,-2.2730331420898438,10.537131291999998,3731,0,0.0,7656012.0
11,abstract_algebra,2,3,0,1.7382842302322388,-0.109375,-2.339846611022949,-1.9023467302322388,-1.7382842302322388,-1.6289092302322388,10.537131291999998,5100,0,0.0,10465200.0
12,abstract_algebra,2,3,0,1.6271412372589111,-0.1484375,-2.088078737258911,-1.8927662372589111,-1.6271412372589111,-1.4787037372589111,10.537131291999998,6344,0,0.0,13017888.0
13,abstract_algebra,3,3,1,1.707135796546936,0.1875,-2.2227606773376465,-2.0196356773376465,-1.894635796546936,-1.707135796546936,10.537131291999998,4659,0,0.0,9560268.0
14,computer_security,2,2,1,1.2766274213790894,0.3828125,-1.9172524213790894,-1.7297524213790894,-1.2766274213790894,-1.6594399213790894,10.537131291999998,7653,0,0.0,15703956.0
15,computer_security,1,1,1,0.8547751903533936,1.2421875,-2.4094626903533936,-0.8547751903533936,-2.2844626903533936,-2.0969626903533936,10.537131291999998,6740,0,0.0,13830480.0
