method,epsilon,pred_kl,byte_saving,bottleneck_saving,max_traffic,group_traffic
milp,0.05,0.049992286257323056,0.6640305053383536,0.6725217723079085,521849.0,"[521849.0, 520538.5, 520350.0, 521671.0]"
rank_only,0.05,0.049920174288672556,0.666015625,0.665827548511551,532516.5,"[511165.5, 531510.5, 496900.0, 532516.5]"
greedy,0.05,0.03956276512974598,0.14317208131318337,0.1414421871332846,1368144.5,"[1290969.5, 1306429.0, 1350354.5, 1368144.5]"
milp,0.1,0.09999511365689048,0.6748391401898082,0.6833486242562148,504596.0,"[504596.0, 504588.0, 504399.5, 503766.5]"
rank_only,0.1,0.09897281683743125,0.677734375,0.6769901313931641,514728.5,"[493215.0, 512220.0, 479224.0, 514728.5]"
greedy,0.1,0.08352857331811107,0.1555653787136373,0.15698558804371154,1343375.5,"[1270366.0, 1293299.5, 1331966.5, 1343375.5]"
milp,0.2,0.13317271188486607,0.6781570752527337,0.68594912703682,500452.0,"[500287.0, 496304.0, 499722.0, 500452.0]"
rank_only,0.2,0.19855117026781954,0.6875,0.68594912703682,500452.0,"[475830.0, 496304.0, 466214.0, 500452.0]"
greedy,0.2,0.16430549327225563,0.1652579881885703,0.1629957992843597,1333798.0,"[1247360.0, 1274250.0, 1323465.0, 1333798.0]"
milp,0.5,0.19855117026781954,0.6875,0.68594912703682,500452.0,"[475830.0, 496304.0, 466214.0, 500452.0]"
rank_only,0.5,0.19855117026781954,0.6875,0.68594912703682,500452.0,"[475830.0, 496304.0, 466214.0, 500452.0]"
greedy,0.5,0.1989318361165715,0.16796875,0.1659445836873673,1329099.0,"[1247360.0, 1269065.0, 1316531.0, 1329099.0]"
milp,1.0,0.19855117026781954,0.6875,0.68594912703682,500452.0,"[475830.0, 496304.0, 466214.0, 500452.0]"
rank_only,1.0,0.19855117026781954,0.6875,0.68594912703682,500452.0,"[475830.0, 496304.0, 466214.0, 500452.0]"
greedy,1.0,0.1989318361165715,0.16796875,0.1659445836873673,1329099.0,"[1247360.0, 1269065.0, 1316531.0, 1329099.0]"
all_bf16,0.0,0.0,0.0,0.0,1593538.0,"[1497918.0, 1534978.0, 1577726.0, 1593538.0]"
uniform_int4,0.0,0.09727337647200332,0.75,0.75,398384.5,"[374479.5, 383744.5, 394431.5, 398384.5]"
