layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
0,1,124,0.8756278157234192,0.969912588596344,0.9983817338943481,0.9999921321868896,
0,2,124,0.1243722140789032,0.026900460943579674,0.23118984699249268,0.38373056054115295,32.23652648925781
1,1,124,0.9425159692764282,0.995347797870636,0.9999401569366455,0.999999463558197,
1,2,124,0.05748404189944267,0.00440337834879756,0.06418771296739578,0.2298291027545929,213.95169067382812
2,1,124,0.9275543689727783,0.9962375164031982,0.9999936819076538,1.0,
2,2,124,0.07244569063186646,0.003663634415715933,0.12836620211601257,0.26340511441230774,264.7784118652344
3,1,124,0.9383716583251953,0.9997323751449585,0.9999983310699463,1.0,
3,2,124,0.061628326773643494,0.00026000759680755436,0.043244317173957825,0.24894839525222778,3735.54736328125
4,1,124,0.9616844654083252,0.9995096921920776,0.9999997615814209,1.0,
4,2,124,0.038315579295158386,0.0004220984992571175,0.015093659050762653,0.16334296762943268,2038.536865234375
5,1,124,0.9505916237831116,0.999331533908844,0.9999985694885254,1.0,
5,2,124,0.04940834268927574,0.000617031124420464,0.021276678889989853,0.18569572269916534,1494.9022216796875
6,1,124,0.9548656344413757,0.9999906420707703,0.9999999403953552,1.0,
6,2,124,0.04513440653681755,7.868235115893185e-06,0.0066167619079351425,0.1587950438261032,106394.4765625
7,1,124,0.9743379354476929,0.9999849796295166,1.0,1.0,
7,2,124,0.025662129744887352,1.3064101949566975e-05,0.002439820673316717,0.070501409471035,66447.7109375
8,1,124,0.973646879196167,0.9999922513961792,1.0,1.0,
8,2,124,0.026353098452091217,6.963279247429455e-06,0.006020931527018547,0.13104356825351715,129848.9296875
9,1,124,0.9644936323165894,0.9999504089355469,1.0,1.0,
9,2,124,0.035506341606378555,4.463245568331331e-05,0.004924631677567959,0.09406266361474991,20165.767578125
10,1,124,0.9489208459854126,0.9999400973320007,1.0,1.0,
10,2,124,0.05107913538813591,2.625848719617352e-05,0.01366649754345417,0.27132782340049744,16707.400390625
11,1,124,0.9654266834259033,0.9999811053276062,1.0,1.0,
11,2,124,0.03457328677177429,1.4127810572972521e-05,0.005904736462980509,0.09391030669212341,52951.08984375
