strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,32,128,8,0.0,15.008773133158684,0.0,0.0,0.0
uniform_int4,32,128,8,0.75,21.686980038881302,27.152188777923584,0.08581794429306829,6.678206905722618
rank1_int4,32,128,8,0.09375,19.496568769216537,20.98921576142311,0.029478251763729205,4.487795636057854
rank2_int4,32,128,8,0.09375,15.652821809053421,3.2981235794723034,0.011985061938955118,0.6440486758947372
rank3_int4,32,128,8,0.09375,15.177189722657204,1.6709345504641533,0.008968059257160379,0.1684165894985199
rank4_int4,32,128,8,0.09375,15.029113471508026,1.1275070309638977,0.006694822499573766,0.020340338349342346
rank5_int4,32,128,8,0.09375,14.850850343704224,0.9035530854016542,0.004747198301353888,-0.15792278945446014
rank6_int4,32,128,8,0.09375,14.96680462360382,0.6251221131533384,0.0031760120274784563,-0.041968509554862976
rank7_int4,32,128,8,0.09375,15.04932513833046,0.4553291650954634,0.001974207515665056,0.04055200517177582
rank8_int4,32,128,8,0.09375,14.979717180132866,0.3613607413135469,0.0012737745205320273,-0.02905595302581787
