layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
0,1,13157,0.2876379191875458,0.2653823792934418,0.3507474958896637,0.45560672879219055,
0,2,13157,0.1971205472946167,0.1773710995912552,0.24772311747074127,0.31780681014060974,
0,3,13157,0.14811885356903076,0.1272357702255249,0.17922820150852203,0.2563782334327698,
0,4,13157,0.10962285101413727,0.09473174065351486,0.12704092264175415,0.185386061668396,
0,5,13157,0.08454236388206482,0.07394341379404068,0.09774193912744522,0.13193534314632416,
0,6,13157,0.06749015301465988,0.0601428747177124,0.07815893739461899,0.10117752104997635,
0,7,13157,0.0563507080078125,0.05062143877148628,0.06567569077014923,0.08486368507146835,
0,8,13157,0.0491165854036808,0.044896963983774185,0.05778878927230835,0.07383182644844055,5.76861572265625
1,1,13157,0.3139422535896301,0.285664439201355,0.3676739037036896,0.45743468403816223,
1,2,13157,0.19270305335521698,0.18463961780071259,0.23144054412841797,0.28117579221725464,
1,3,13157,0.1374826282262802,0.13253605365753174,0.1653493344783783,0.20543527603149414,
1,4,13157,0.10329317301511765,0.09907539188861847,0.12488728016614914,0.15479789674282074,
1,5,13157,0.08040343225002289,0.07660515606403351,0.09874921292066574,0.12114223837852478,
1,6,13157,0.06551128625869751,0.06262316554784775,0.08093064278364182,0.09977603703737259,
1,7,13157,0.05648694932460785,0.05410075560212135,0.06999082118272781,0.08643916249275208,
1,8,13157,0.05017722770571709,0.04819038510322571,0.061957716941833496,0.0771499052643776,5.855130672454834
2,1,13157,0.28931766748428345,0.26829978823661804,0.3366783559322357,0.41491878032684326,
2,2,13157,0.19498294591903687,0.18469920754432678,0.22873151302337646,0.2807636857032776,
2,3,13157,0.14691579341888428,0.13803142309188843,0.17173652350902557,0.21295344829559326,
2,4,13157,0.1096472516655922,0.10448441654443741,0.12987816333770752,0.15840958058834076,
2,5,13157,0.08375246077775955,0.08071468770503998,0.1001569926738739,0.12183833122253418,
2,6,13157,0.0676785260438919,0.06540703773498535,0.08168822526931763,0.09857901930809021,
2,7,13157,0.05730291083455086,0.05544758588075638,0.06914550065994263,0.08322442322969437,
2,8,13157,0.05040242150425911,0.04896174371242523,0.06019935756921768,0.07272515445947647,5.482780933380127
3,1,13157,0.2919802665710449,0.2703155279159546,0.33486810326576233,0.41479989886283875,
3,2,13157,0.18880634009838104,0.1831260770559311,0.221421018242836,0.2632376253604889,
3,3,13157,0.1426231414079666,0.13964641094207764,0.1699746698141098,0.20029935240745544,
3,4,13157,0.11142633855342865,0.10849788784980774,0.1325310319662094,0.1592031866312027,
3,5,13157,0.08613280951976776,0.08367183059453964,0.10272280126810074,0.12435737252235413,
3,6,13157,0.06940040737390518,0.06761783361434937,0.08288958668708801,0.09921401739120483,
3,7,13157,0.05838203430175781,0.05663113296031952,0.07010407000780106,0.08341052383184433,
3,8,13157,0.051248665899038315,0.049593038856983185,0.06109093129634857,0.07364168018102646,5.421728134155273
4,1,13157,0.2718264162540436,0.24228772521018982,0.3003685176372528,0.367440402507782,
4,2,13157,0.17943644523620605,0.17633835971355438,0.21132692694664001,0.24841229617595673,
4,3,13157,0.14128436148166656,0.13860337436199188,0.16787609457969666,0.19816628098487854,
4,4,13157,0.11344016343355179,0.11116695404052734,0.13505113124847412,0.16078995168209076,
4,5,13157,0.09247974306344986,0.09025850892066956,0.11046762019395828,0.13188904523849487,
4,6,13157,0.0769723430275917,0.07504750043153763,0.09147384762763977,0.10950097441673279,
4,7,13157,0.06644381582736969,0.06464879214763641,0.07891033589839935,0.09380389750003815,
4,8,13157,0.05811676010489464,0.05651513487100601,0.06946931034326553,0.0828571617603302,4.2656025886535645
5,1,13157,0.25375473499298096,0.23626704514026642,0.29273858666419983,0.35922470688819885,
5,2,13157,0.17897678911685944,0.17198686301708221,0.20670673251152039,0.2457171231508255,
5,3,13157,0.13982929289340973,0.1361604928970337,0.16152194142341614,0.1890048384666443,
5,4,13157,0.11395227164030075,0.11087287217378616,0.13294531404972076,0.15571328997612,
5,5,13157,0.09594649821519852,0.09315125644207001,0.1121651828289032,0.13217703998088837,
5,6,13157,0.08247848600149155,0.07908903062343597,0.09634368121623993,0.11599517613649368,
5,7,13157,0.07153049111366272,0.06830376386642456,0.08340220898389816,0.10038577020168304,
5,8,13157,0.06353145092725754,0.06091398000717163,0.07448039203882217,0.08962032943964005,3.9108145236968994
6,1,13157,0.24440200626850128,0.23101450502872467,0.27636614441871643,0.3327533006668091,
6,2,13157,0.1842820644378662,0.18204303085803986,0.2136768400669098,0.24520201981067657,
6,3,13157,0.14760465919971466,0.14563889801502228,0.17453594505786896,0.20175296068191528,
6,4,13157,0.12605862319469452,0.1161317527294159,0.14139801263809204,0.1684883087873459,
6,5,13157,0.0947059690952301,0.0920875072479248,0.11230640113353729,0.13390043377876282,
6,6,13157,0.07850673049688339,0.07631458342075348,0.09292946010828018,0.11102257668972015,
6,7,13157,0.06649892777204514,0.06416598707437515,0.07853535562753677,0.0941641628742218,
