layer,rank,count,mean_share,median_share,p75_share,p90_share,rank1_over_rankk_median
0,1,58,0.2751021981239319,0.2138439118862152,0.3172825574874878,0.49226099252700806,
0,2,58,0.19384171068668365,0.1520460546016693,0.24085088074207306,0.3330022692680359,
0,3,58,0.1746218502521515,0.13580738008022308,0.21190831065177917,0.29684898257255554,
0,4,58,0.1132892593741417,0.10378394275903702,0.1338444948196411,0.16277477145195007,
0,5,58,0.08726353198289871,0.0773448497056961,0.11011731624603271,0.1441211849451065,
0,6,58,0.06072364002466202,0.062005240470170975,0.07493782043457031,0.08948588371276855,
0,7,58,0.05072842910885811,0.047542814165353775,0.06495083123445511,0.08347650617361069,
0,8,58,0.04442938417196274,0.03928568586707115,0.061003901064395905,0.06881044059991837,5.034634113311768
1,1,58,0.3408910036087036,0.28427478671073914,0.3622497618198395,0.6410264372825623,
1,2,58,0.18027473986148834,0.1718636304140091,0.21416310966014862,0.2649064064025879,
1,3,58,0.12848331034183502,0.13069285452365875,0.15992030501365662,0.18903788924217224,
1,4,58,0.0966464951634407,0.09187477082014084,0.12421152740716934,0.1500219702720642,
1,5,58,0.08367380499839783,0.08507709950208664,0.1036519855260849,0.1332603394985199,
1,6,58,0.06425859779119492,0.06649001687765121,0.0832943320274353,0.09438218921422958,
1,7,58,0.05627880245447159,0.051961615681648254,0.0732819139957428,0.08282681554555893,
1,8,58,0.04949319362640381,0.04867080971598625,0.06175250560045242,0.07587965577840805,4.955959796905518
2,1,58,0.3069498836994171,0.2369515299797058,0.30137497186660767,0.4593661427497864,
2,2,58,0.17772091925144196,0.17500773072242737,0.21157100796699524,0.28081032633781433,
2,3,58,0.1474253088235855,0.13576193153858185,0.18272621929645538,0.21493415534496307,
2,4,58,0.10375992953777313,0.10823244601488113,0.12961095571517944,0.1438886821269989,
2,5,58,0.08541549742221832,0.09115561842918396,0.1057078093290329,0.12437152862548828,
2,6,58,0.06708798557519913,0.06816700845956802,0.08285517990589142,0.09648042172193527,
2,7,58,0.05954933911561966,0.06147328019142151,0.07178612053394318,0.08823662996292114,
2,8,58,0.05209116265177727,0.05608344078063965,0.06467650830745697,0.07168124616146088,4.4134087562561035
3,1,58,0.33069565892219543,0.25652530789375305,0.36520546674728394,0.5541037321090698,
3,2,58,0.16484656929969788,0.17477881908416748,0.209645614027977,0.25271207094192505,
3,3,58,0.12670284509658813,0.12946131825447083,0.156744122505188,0.1902845799922943,
3,4,58,0.09926443547010422,0.10268886387348175,0.12293417006731033,0.13491588830947876,
3,5,58,0.08347438275814056,0.08385554701089859,0.1034250408411026,0.1270989328622818,
3,6,58,0.07344072312116623,0.0683332160115242,0.09703566879034042,0.11415916681289673,
3,7,58,0.06355777382850647,0.0654299333691597,0.07768209278583527,0.09326551854610443,
3,8,58,0.05801758915185928,0.05708695203065872,0.07131724059581757,0.09085056930780411,4.608806133270264
4,1,58,0.33453238010406494,0.24145878851413727,0.3770364820957184,0.6546955704689026,
4,2,58,0.15793775022029877,0.16183507442474365,0.19409367442131042,0.227451890707016,
4,3,58,0.12671707570552826,0.12344015389680862,0.16052663326263428,0.20692111551761627,
4,4,58,0.10334508866071701,0.0991843119263649,0.13469147682189941,0.1672079712152481,
4,5,58,0.0841887891292572,0.09249251335859299,0.10553188621997833,0.11864086985588074,
4,6,58,0.06931903958320618,0.06989237666130066,0.086488276720047,0.10535764694213867,
4,7,58,0.06488172709941864,0.06583228707313538,0.08133183419704437,0.0925481915473938,
4,8,58,0.059078142046928406,0.055497750639915466,0.07759250700473785,0.08459292352199554,4.049293518066406
5,1,58,0.22736676037311554,0.20589742064476013,0.2586398720741272,0.3064621686935425,
5,2,58,0.16273412108421326,0.15804345905780792,0.18877357244491577,0.20052394270896912,
5,3,58,0.13451583683490753,0.13217175006866455,0.1605270802974701,0.18726539611816406,
5,4,58,0.11810602247714996,0.11658593267202377,0.13022202253341675,0.14844991266727448,
5,5,58,0.10487698763608932,0.0968962162733078,0.11952505260705948,0.13595032691955566,
5,6,58,0.09457787126302719,0.0850212350487709,0.11755988001823425,0.14636656641960144,
5,7,58,0.0826571136713028,0.0792059600353241,0.09706363826990128,0.13313907384872437,
5,8,58,0.07516530156135559,0.0732879638671875,0.09103894233703613,0.10176694393157959,2.9978532791137695
6,1,58,0.22688521444797516,0.21321572363376617,0.2613210082054138,0.33637535572052,
6,2,58,0.16893629729747772,0.173607736825943,0.20342561602592468,0.23040901124477386,
6,3,58,0.1392947882413864,0.14623472094535828,0.16567398607730865,0.1802263855934143,
6,4,58,0.16883347928524017,0.11800239235162735,0.14494313299655914,0.17430450022220612,
6,5,58,0.08886127918958664,0.08989577740430832,0.10364970564842224,0.12521883845329285,
