source_model,target_model,feature_group,selected_alpha_on_source_validation,source_validation_spearman,target_test_spearman,target_test_spearman_ci_low,target_test_spearman_ci_high,target_worst_decile_auc,target_worst_decile_recall_at_10pct
olmoe,llmjp,arrival_lexical,0.0,-0.27941176470588236,0.07881231671554251,-0.3171366902941739,0.46964106037151687,0.4732142857142857,0.25
olmoe,llmjp,full_router_plus_lexical,0.0,0.2764705882352941,0.07184750733137829,-0.32498941051380226,0.46899854344809255,0.4375,0.25
olmoe,llmjp,prefill_nll_only,0.0,-0.27058823529411763,0.19574780058651026,-0.17341678939617086,0.5372483707705495,0.7142857142857143,0.0
olmoe,llmjp,prefill_nll_plus_lexical,10.0,-0.2529411764705882,0.12060117302052785,-0.2561379127743906,0.46016982828877523,0.6785714285714286,0.0
olmoe,llmjp,post_prefill_all,0.0,0.32647058823529407,0.14186217008797652,-0.24425383985446486,0.5000114868590332,0.45535714285714285,0.25
llmjp,olmoe,arrival_lexical,1.0,0.2529411764705882,-0.05755131964809384,-0.41192201385950056,0.299798697828005,0.49107142857142855,0.25
llmjp,olmoe,full_router_plus_lexical,0.1,0.3029411764705882,-0.0722140762463343,-0.44777409860191314,0.287983505436055,0.4017857142857143,0.25
llmjp,olmoe,prefill_nll_only,0.0,0.044117647058823525,0.4222873900293254,0.05234636455883933,0.694350078624721,0.6517857142857143,0.25
llmjp,olmoe,prefill_nll_plus_lexical,100.0,0.1176470588235294,0.2734604105571847,-0.09793018291080056,0.5925738672604227,0.6428571428571429,0.0
llmjp,olmoe,post_prefill_all,1.0,0.3294117647058824,0.21884164222873898,-0.14196918621229637,0.5418367346938775,0.49107142857142855,0.25
