endpoint,sample_id,token_count,mean_nll,delta_nll_vs_late,mean_token_kl_vs_late
late_bf16,0,255,2.177112055759804,0.0,0.0
late_bf16,1,255,2.337216605392157,0.0,0.0
pretrained_original,0,255,2.176161582797181,-0.0009504729626228503,0.0009991081321940702
pretrained_original,1,255,2.332779947916667,-0.004436657475490158,0.003340290340722776
stock_early_bf16,0,255,2.1700635723039214,-0.007048483455882604,0.0012572669515422746
stock_early_bf16,1,255,2.3365284639246324,-0.0006881414675246056,0.002461433644388236
clean_early_bf16,0,255,2.1742963005514704,-0.002815755208333659,0.0008729785096411611
clean_early_bf16,1,255,2.3360555013020834,-0.0011611040900736391,0.0018944228396696203
uniform_early_fp32,0,255,2.177112055759804,0.0,0.0
uniform_early_fp32,1,255,2.337216605392157,0.0,0.0
pd_full,0,255,2.177112055759804,0.0,0.0
pd_full,1,255,2.337216605392157,0.0,0.0
uniform_early_fp8,0,255,2.181649959788603,0.004537904028798945,0.0015209248252943451
uniform_early_fp8,1,255,2.333962115119485,-0.003254490272671884,0.002965396292069379
