source_action,target_action,test_true_harm_spearman
fp8top8_rest_int4,fp8top8_rest_int4,1.0
fp8top8_rest_int4,rankk_drop_renorm,0.411764705882353
fp8top8_rest_int4,keep12_drop_renorm,0.3411764705882353
fp8top8_rest_int4,keep8_drop_renorm,0.12941176470588234
rankk_drop_renorm,fp8top8_rest_int4,0.411764705882353
rankk_drop_renorm,rankk_drop_renorm,1.0
rankk_drop_renorm,keep12_drop_renorm,0.4823529411764706
rankk_drop_renorm,keep8_drop_renorm,0.39999999999999997
keep12_drop_renorm,fp8top8_rest_int4,0.3411764705882353
keep12_drop_renorm,rankk_drop_renorm,0.4823529411764706
keep12_drop_renorm,keep12_drop_renorm,1.0
keep12_drop_renorm,keep8_drop_renorm,0.8647058823529412
keep8_drop_renorm,fp8top8_rest_int4,0.12941176470588234
keep8_drop_renorm,rankk_drop_renorm,0.39999999999999997
keep8_drop_renorm,keep12_drop_renorm,0.8647058823529412
keep8_drop_renorm,keep8_drop_renorm,1.0
