policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
reactive_lru,global,6,0,3646.836977556348,294.57612800598145,3352.2608495503664,0.0,1.0,45706,45706,0,0,0,0.0,llmjp,top1,1,0,3646.836977556348,0.0
static_frequency_pin,global,6,0,3564.4716659113765,294.57612800598145,3269.895537905395,0.0,0.9754299216733033,45706,44583,0,0,0,0.0,llmjp,top1,1,0,3646.836977556348,2.2585410905908487
frequency_prefetch,global,6,6,3765.337044030428,294.57612800598145,2301.5347100794315,1169.226205945015,0.6865619393515074,45706,31380,20160,14326,5834,0.7106150793650794,llmjp,top1,1,0,3646.836977556348,-3.2493930275294014
transition_prefetch,global,6,6,3673.8770764246583,294.57612800598145,2210.074742473662,1169.226205945015,0.6592788692950597,45706,30133,20160,15573,4587,0.7724702380952381,llmjp,top1,1,0,3646.836977556348,-0.7414671682535623
random_prefetch,global,6,6,4214.495698094368,294.57612800598145,2750.6933641433716,1169.226205945015,0.8205487244563077,45706,37504,20160,8202,11958,0.4068452380952381,llmjp,top1,1,0,3646.836977556348,-15.565782732585799
oracle_prefetch,global,6,6,3338.1273820102215,294.57612800598145,1876.7996079102159,1166.7516460940242,0.5598608497790224,45706,25589,20117,20117,0,1.0,llmjp,top1,1,0,3646.836977556348,8.465132865713809
reactive_lru,global,12,0,3646.836977556348,294.57612800598145,3352.2608495503664,0.0,1.0,45706,45706,0,0,0,0.0,llmjp,top1,1,0,3646.836977556348,0.0
static_frequency_pin,global,12,0,3492.5945462211967,294.57612800598145,3198.018418215215,0.0,0.9539885354220452,45706,43603,0,0,0,0.0,llmjp,top1,1,0,3646.836977556348,4.229485230198171
frequency_prefetch,global,12,6,3765.337044030428,294.57612800598145,2301.5347100794315,1169.226205945015,0.6865619393515074,45706,31380,20160,14326,5834,0.7106150793650794,llmjp,top1,1,0,3646.836977556348,-3.2493930275294014
transition_prefetch,global,12,6,3673.8770764246583,294.57612800598145,2210.074742473662,1169.226205945015,0.6592788692950597,45706,30133,20160,15573,4587,0.7724702380952381,llmjp,top1,1,0,3646.836977556348,-0.7414671682535623
random_prefetch,global,12,6,4211.195218108594,294.57612800598145,2747.392884157598,1169.226205945015,0.8195641710059949,45706,37459,20160,8247,11913,0.40907738095238094,llmjp,top1,1,0,3646.836977556348,-15.475280195563013
oracle_prefetch,global,12,6,3338.1273820102215,294.57612800598145,1876.7996079102159,1166.7516460940242,0.5598608497790224,45706,25589,20117,20117,0,1.0,llmjp,top1,1,0,3646.836977556348,8.465132865713809
reactive_lru,global,24,0,3646.836977556348,294.57612800598145,3352.2608495503664,0.0,1.0,45706,45706,0,0,0,0.0,llmjp,top1,1,0,3646.836977556348,0.0
static_frequency_pin,global,24,0,3334.6849149018526,294.57612800598145,3040.108786895871,0.0,0.906883122565965,45706,41450,0,0,0,0.0,llmjp,top1,1,0,3646.836977556348,8.559528834866104
frequency_prefetch,global,24,6,3765.337044030428,294.57612800598145,2301.5347100794315,1169.226205945015,0.6865619393515074,45706,31380,20160,14326,5834,0.7106150793650794,llmjp,top1,1,0,3646.836977556348,-3.2493930275294014
