rank_mode,cache_scope,capacity,policy,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
full_topk,global,8,oracle_prefetch,8,42924.20853424072,1497.9399185180664,36493.412272930145,4932.856342792511,0.849489338828167,178592,151712,26880,26880,0,1.0,olmoe,8,1,44457.175078868866,3.4481870292221606
full_topk,global,16,oracle_prefetch,8,42924.20853424072,1497.9399185180664,36493.412272930145,4932.856342792511,0.849489338828167,178592,151712,26880,26880,0,1.0,olmoe,8,1,44457.175078868866,3.4481870292221606
full_topk,global,32,oracle_prefetch,8,42924.20853424072,1497.9399185180664,36493.412272930145,4932.856342792511,0.849489338828167,178592,151712,26880,26880,0,1.0,olmoe,8,1,44457.175078868866,3.4481870292221606
full_topk,per_layer,8,reactive_lru,0,37984.616959273815,1497.9399185180664,36486.67704075575,0.0,0.8493325568894463,178592,151684,0,0,0,0.0,olmoe,8,1,37984.616959273815,0.0
full_topk,per_layer,16,oracle_prefetch,1,31690.009148821235,1497.9399185180664,30130.782764181495,61.286466121673584,0.7013808009317327,178592,125261,3360,3360,0,1.0,olmoe,8,1,31701.84806059301,0.03734454770316642
full_topk,per_layer,32,oracle_prefetch,1,19261.821979016066,1497.9399185180664,17702.595594376326,61.286466121673584,0.41207892850743594,178592,73594,3360,3360,0,1.0,olmoe,8,1,19311.185755759478,0.2556227119750454
top1,global,8,oracle_prefetch,8,13531.300285875797,1497.9399185180664,7129.724344611168,4903.636022746563,0.5256344322474241,56389,29640,26749,26749,0,1.0,olmoe,1,1,15061.975885733962,10.162515273364326
top1,global,16,oracle_prefetch,8,13531.300285875797,1497.9399185180664,7129.724344611168,4903.636022746563,0.5256344322474241,56389,29640,26749,26749,0,1.0,olmoe,1,1,15061.975885733962,10.162515273364326
top1,global,32,oracle_prefetch,8,13531.300285875797,1497.9399185180664,7129.724344611168,4903.636022746563,0.5256344322474241,56389,29640,26749,26749,0,1.0,olmoe,1,1,15061.975885733962,10.162515273364326
top1,per_layer,8,oracle_prefetch,1,10764.53199891746,1497.9399185180664,9205.378574356437,61.213506042957306,0.6786607317029917,56389,38269,3356,3356,0,1.0,olmoe,1,1,11106.229703307152,3.0766309856525176
top1,per_layer,16,oracle_prefetch,1,7583.399084106088,1497.9399185180664,6024.665179997683,60.79398559033871,0.4441646420401142,56389,25046,3333,3333,0,1.0,olmoe,1,1,8022.455543458462,5.4728437817319175
top1,per_layer,32,oracle_prefetch,8,3556.605198264122,1497.9399185180664,833.2444375753403,1225.4208421707153,0.06143042082675699,56389,3464,9516,9516,0,1.0,olmoe,1,1,4109.7667381465435,13.45968214565605
