policy,cache_scope,capacity,prefetch_budget,total_latency_ms,total_compute_ms,total_demand_ms,total_exposed_prefetch_ms,miss_rate,total_needed_objects,total_misses,total_prefetches,useful_prefetches,wasted_prefetches,prefetch_precision,model,rank_mode,rank_limit,safe_overlap_budget,reactive_latency_ms,latency_saving_vs_reactive_pct
reactive_lru,global,8,0,15061.975885733962,1497.9399185180664,13564.035967215896,0.0,1.0,56389,56389,0,0,0,0.0,olmoe,top1,1,1,15061.975885733962,0.0
static_frequency_pin,global,8,0,14764.422950029373,1497.9399185180664,13266.483031511307,0.0,0.978063097412616,56389,55152,0,0,0,0.0,olmoe,top1,1,1,15061.975885733962,1.9755239150689219
frequency_prefetch,global,8,1,14581.076161816716,1497.9399185180664,13021.849777176976,61.286466121673584,0.9600276649701183,56389,54135,3360,2254,1106,0.6708333333333333,olmoe,top1,1,1,15061.975885733962,3.192806359308631
transition_prefetch,global,8,1,14482.212575256824,1497.9399185180664,12922.986190617085,61.286466121673584,0.9527390093812623,56389,53724,3360,2665,695,0.7931547619047619,olmoe,top1,1,1,15061.975885733962,3.849184960030805
random_prefetch,global,8,1,14922.88919466734,1497.9399185180664,13363.6628100276,61.286466121673584,0.9852276153150437,56389,55556,3360,833,2527,0.24791666666666667,olmoe,top1,1,1,15061.975885733962,0.9234292507290465
oracle_prefetch,global,8,1,14315.034490928054,1497.9399185180664,12755.808106288314,61.286466121673584,0.940413910514462,56389,53029,3360,3360,0,1.0,olmoe,top1,1,1,15061.975885733962,4.959119576823767
frequency_prefetch,global,8,8,16311.381861150265,1497.9399185180664,9880.585599839687,4932.856342792511,0.7284399439607016,56389,41076,26880,15313,11567,0.5696800595238095,olmoe,top1,1,1,15061.975885733962,-8.29510009108223
transition_prefetch,global,8,8,15684.524180918932,1497.9399185180664,9253.727919608355,4932.856342792511,0.6822252566990016,56389,38470,26880,17919,8961,0.6666294642857142,olmoe,top1,1,1,15061.975885733962,-4.133244535165015
random_prefetch,global,8,8,18414.939195618033,1497.9399185180664,11984.142934307456,4932.856342792511,0.8835233822199365,56389,49821,26880,6568,20312,0.2443452380952381,olmoe,top1,1,1,15061.975885733962,-22.261111923966425
oracle_prefetch,global,8,8,13531.300285875797,1497.9399185180664,7129.724344611168,4903.636022746563,0.5256344322474241,56389,29640,26749,26749,0,1.0,olmoe,top1,1,1,15061.975885733962,10.162515273364326
reactive_lru,global,16,0,15061.975885733962,1497.9399185180664,13564.035967215896,0.0,1.0,56389,56389,0,0,0,0.0,olmoe,top1,1,1,15061.975885733962,0.0
static_frequency_pin,global,16,0,14506.078687340021,1497.9399185180664,13008.138768821955,0.0,0.9590168295234887,56389,54078,0,0,0,0.0,olmoe,top1,1,1,15061.975885733962,3.6907322293648237
frequency_prefetch,global,16,1,14581.076161816716,1497.9399185180664,13021.849777176976,61.286466121673584,0.9600276649701183,56389,54135,3360,2254,1106,0.6708333333333333,olmoe,top1,1,1,15061.975885733962,3.192806359308631
transition_prefetch,global,16,1,14482.212575256824,1497.9399185180664,12922.986190617085,61.286466121673584,0.9527390093812623,56389,53724,3360,2665,695,0.7931547619047619,olmoe,top1,1,1,15061.975885733962,3.849184960030805
random_prefetch,global,16,1,14937.802923053503,1497.9399185180664,13378.576538413763,61.286466121673584,0.9863271205376936,56389,55618,3360,771,2589,0.2294642857142857,olmoe,top1,1,1,15061.975885733962,0.8244135007417608
oracle_prefetch,global,16,1,14315.034490928054,1497.9399185180664,12755.808106288314,61.286466121673584,0.940413910514462,56389,53029,3360,3360,0,1.0,olmoe,top1,1,1,15061.975885733962,4.959119576823767
frequency_prefetch,global,16,8,16311.381861150265,1497.9399185180664,9880.585599839687,4932.856342792511,0.7284399439607016,56389,41076,26880,15313,11567,0.5696800595238095,olmoe,top1,1,1,15061.975885733962,-8.29510009108223
transition_prefetch,global,16,8,15684.524180918932,1497.9399185180664,9253.727919608355,4932.856342792511,0.6822252566990016,56389,38470,26880,17919,8961,0.6666294642857142,olmoe,top1,1,1,15061.975885733962,-4.133244535165015
random_prefetch,global,16,8,18441.88012431562,1497.9399185180664,12011.083863005042,4932.856342792511,0.8855095852027878,56389,49933,26880,6456,20424,0.24017857142857144,olmoe,top1,1,1,15061.975885733962,-22.439979085233787
oracle_prefetch,global,16,8,13531.300285875797,1497.9399185180664,7129.724344611168,4903.636022746563,0.5256344322474241,56389,29640,26749,26749,0,1.0,olmoe,top1,1,1,15061.975885733962,10.162515273364326
reactive_lru,global,32,0,15061.975885733962,1497.9399185180664,13564.035967215896,0.0,1.0,56389,56389,0,0,0,0.0,olmoe,top1,1,1,15061.975885733962,0.0
static_frequency_pin,global,32,0,13945.370608821511,1497.9399185180664,12447.430690303445,0.0,0.9176789799428967,56389,51747,0,0,0,0.0,olmoe,top1,1,1,15061.975885733962,7.413405023241671
frequency_prefetch,global,32,1,14581.076161816716,1497.9399185180664,13021.849777176976,61.286466121673584,0.9600276649701183,56389,54135,3360,2254,1106,0.6708333333333333,olmoe,top1,1,1,15061.975885733962,3.192806359308631
transition_prefetch,global,32,1,14482.212575256824,1497.9399185180664,12922.986190617085,61.286466121673584,0.9527390093812623,56389,53724,3360,2665,695,0.7931547619047619,olmoe,top1,1,1,15061.975885733962,3.849184960030805
random_prefetch,global,32,1,14935.397482991219,1497.9399185180664,13376.171098351479,61.286466121673584,0.9861497809856532,56389,55608,3360,781,2579,0.2324404761904762,olmoe,top1,1,1,15061.975885733962,0.8403837829977778
oracle_prefetch,global,32,1,14315.034490928054,1497.9399185180664,12755.808106288314,61.286466121673584,0.940413910514462,56389,53029,3360,3360,0,1.0,olmoe,top1,1,1,15061.975885733962,4.959119576823767
frequency_prefetch,global,32,8,16311.381861150265,1497.9399185180664,9880.585599839687,4932.856342792511,0.7284399439607016,56389,41076,26880,15313,11567,0.5696800595238095,olmoe,top1,1,1,15061.975885733962,-8.29510009108223
transition_prefetch,global,32,8,15684.524180918932,1497.9399185180664,9253.727919608355,4932.856342792511,0.6822252566990016,56389,38470,26880,17919,8961,0.6666294642857142,olmoe,top1,1,1,15061.975885733962,-4.133244535165015
random_prefetch,global,32,8,18475.79682919383,1497.9399185180664,12045.000567883253,4932.856342792511,0.8880100728865559,56389,50074,26880,6315,20565,0.23493303571428573,olmoe,top1,1,1,15061.975885733962,-22.665160065043576
