strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,64,128,16,0.0,21.34383511543274,0.0,0.0,0.0
uniform_fp8,64,128,16,0.5,21.614676661789417,0.9515659073367715,0.0003271130130332821,0.270841546356678
fp8_tail1int4,64,128,16,0.515625,21.683579571545124,0.9805113784968853,0.00036905780874163166,0.3397444561123848
fp8_tail2int4,64,128,16,0.53125,21.573270432651043,0.8846978833898902,0.00035240687538698657,0.22943531721830368
fp8_tail4int4,64,128,16,0.5625,21.607378259301186,0.9605558877810836,0.00041967702407509107,0.26354314386844635
fp8_tail8int4,64,128,16,0.625,21.693621337413788,1.2964428504928946,0.0004623693856012744,0.3497862219810486
fp8_tail12int4,64,128,16,0.6875,22.31915483623743,4.106038935482502,0.0033537612399917468,0.9753197208046913
fp8_tail15int4,64,128,16,0.734375,23.941062040627003,9.28343865275383,0.011639205158602617,2.5972269251942635
fp8_tail16int4,64,128,16,0.75,27.015205815434456,20.656959041953087,0.04243705115836094,5.671370700001717
uniform_int4,64,128,16,0.75,27.015205815434456,20.656959041953087,0.04243705115836094,5.671370700001717
fp8_tail8int4_rankaware,64,128,16,0.625,21.693621337413788,1.2964428504928946,0.0004623693856012744,0.3497862219810486
fp8_head8int4_antirank,64,128,16,0.625,27.612984247505665,20.51534228026867,0.042376473130077835,6.269149132072926
fp8_oddint4_norank,64,128,16,0.625,27.670115783810616,21.4571323543787,0.03858596142295506,6.326280668377876
