strategy,samples,seq_len,top_k,byte_saving,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,32,128,8,0.0,15.008773133158684,0.0,0.0,0.0
uniform_fp8,32,128,8,0.5,14.954529091715813,0.29258059058338404,0.0003151335523461948,-0.054244041442871094
uniform_int8,32,128,8,0.5,16.290062054991722,5.858980618417263,0.0007777668447427657,1.2812889218330383
uniform_int4,32,128,8,0.75,21.686980038881302,27.152188777923584,0.08581794429306829,6.678206905722618
rank1_fp8,32,128,8,0.0625,14.97916492819786,0.2573454414959997,0.0001436666120781472,-0.02960820496082306
rank2_fp8,32,128,8,0.0625,15.02712020277977,0.17346555332187563,6.530985315917144e-05,0.01834706962108612
rank3_fp8,32,128,8,0.0625,14.980544120073318,0.160678792395629,4.3352774450839823e-05,-0.028229013085365295
rank4_fp8,32,128,8,0.0625,14.99550712108612,0.13987558608641848,3.0612543376172295e-05,-0.013266012072563171
rank5_fp8,32,128,8,0.0625,14.970373794436455,0.13718124065781012,2.0847118186637288e-05,-0.038399338722229004
rank6_fp8,32,128,8,0.0625,14.975848942995071,0.13394189614336938,1.3810178028993132e-05,-0.032924190163612366
rank7_fp8,32,128,8,0.0625,14.967048540711403,0.12549474241677672,8.85405591267453e-06,-0.041724592447280884
rank8_fp8,32,128,8,0.0625,14.984799161553383,0.13045465346658602,6.031524713125356e-06,-0.023973971605300903
keep1_bf16_rest_fp8,32,128,8,0.4375,14.967417195439339,0.20629162242403254,0.00017375209495119084,-0.04135593771934509
keep2_bf16_rest_fp8,32,128,8,0.375,14.959954395890236,0.17888556007528678,0.00011115916134005332,-0.048818737268447876
keep4_bf16_rest_fp8,32,128,8,0.25,14.984935402870178,0.14384195127058774,4.301555341871512e-05,-0.023837730288505554
rank1_int4,32,128,8,0.09375,19.496568769216537,20.98921576142311,0.029478251763729205,4.487795636057854
rank8_int4,32,128,8,0.09375,14.979717180132866,0.3613607413135469,0.0012737745205320273,-0.02905595302581787
