strategy,sample_idx,kl_free,kl_locked,drift_contribution,drift_fraction,numerical_fraction
uniform_fp8,0,0.523958683013916,0.3023326098918915,0.22162607312202454,0.4229838731695153,0.5770161268304848
rank8_fp8,0,0.2928505539894104,0.05010005831718445,0.24275049567222595,0.8289227811431898,0.17107721885681015
rank1_fp8,0,0.5531186461448669,0.16531521081924438,0.38780343532562256,0.7011216093121063,0.2988783906878937
rank8_int4,0,0.681464433670044,0.2699156701564789,0.41154876351356506,0.6039181843976197,0.3960818156023803
uniform_fp8,1,0.43385016918182373,0.20704622566699982,0.2268039435148239,0.5227702087624907,0.4772297912375093
rank8_fp8,1,0.13402995467185974,0.04711339995265007,0.08691655471920967,0.6484860412883378,0.35151395871166224
rank1_fp8,1,0.3234350383281708,0.1297643482685089,0.19367069005966187,0.5987931643421869,0.4012068356578131
rank8_int4,1,0.4182687997817993,0.24543806910514832,0.172830730676651,0.41320493129492947,0.5867950687050705
uniform_fp8,2,0.272996723651886,0.09037652611732483,0.18262019753456116,0.668946480718321,0.33105351928167903
rank8_fp8,2,0.1617744415998459,0.023684795945882797,0.1380896456539631,0.8535937091690424,0.14640629083095758
rank1_fp8,2,0.2710391879081726,0.05760727822780609,0.21343190968036652,0.7874577522445821,0.21254224775541786
rank8_int4,2,0.3439634442329407,0.21739470958709717,0.1265687346458435,0.36797147129428087,0.6320285287057191
uniform_fp8,3,0.18606045842170715,0.05414070188999176,0.1319197565317154,0.7090155407051533,0.29098445929484673
rank8_fp8,3,0.08214228600263596,0.020363494753837585,0.06177879124879837,0.7520948619182072,0.24790513808179282
rank1_fp8,3,0.16573649644851685,0.040681593120098114,0.12505490332841873,0.7545405267286126,0.2454594732713874
rank8_int4,3,0.21411950886249542,0.15526123344898224,0.058858275413513184,0.2748851598165731,0.7251148401834269
uniform_fp8,4,0.17545202374458313,0.0568438284099102,0.11860819533467293,0.6760149743689395,0.32398502563106046
rank8_fp8,4,0.05064442753791809,0.016964532434940338,0.03367989510297775,0.6650266720412865,0.3349733279587135
rank1_fp8,4,0.12997284531593323,0.03511215001344681,0.09486069530248642,0.7298501088585275,0.2701498911414725
rank8_int4,4,0.16315993666648865,0.08972591161727905,0.0734340250492096,0.4500738756678629,0.5499261243321372
uniform_fp8,5,0.07519486546516418,0.03063557855784893,0.044559286907315254,0.5925841695661841,0.4074158304338159
rank8_fp8,5,0.030940890312194824,0.00942411832511425,0.021516771987080574,0.695415412096274,0.304584587903726
rank1_fp8,5,0.08718392997980118,0.020955970510840416,0.06622795946896076,0.7596349405710948,0.24036505942890518
rank8_int4,5,0.09344436973333359,0.053517699241638184,0.039926670491695404,0.42727743368205,0.57272256631795
uniform_fp8,6,0.0741075724363327,0.030335387215018272,0.04377218522131443,0.5906573887428305,0.40934261125716953
rank8_fp8,6,0.048239946365356445,0.009423663839697838,0.03881628252565861,0.8046502007210885,0.1953497992789115
rank1_fp8,6,0.09919115900993347,0.0210246704518795,0.07816648855805397,0.7880388669541205,0.2119611330458795
rank8_int4,6,0.11657679826021194,0.07102809101343155,0.045548707246780396,0.3907184613623612,0.6092815386376388
uniform_fp8,7,0.06521186977624893,0.025600004941225052,0.03961186483502388,0.6074333548622013,0.3925666451377987
rank8_fp8,7,0.01660860702395439,0.009857581928372383,0.006751025095582008,0.4064775020472871,0.593522497952713
rank1_fp8,7,0.058348409831523895,0.024017618969082832,0.03433079086244106,0.5883757751336895,0.41162422486631045
rank8_int4,7,0.11228403449058533,0.05303845554590225,0.059245578944683075,0.5276402759615004,0.4723597240384996
uniform_fp8,8,0.508918285369873,0.17034995555877686,0.3385683298110962,0.6652705150199714,0.33472948498002864
rank8_fp8,8,0.12119138240814209,0.043367382138967514,0.07782400026917458,0.642157872307149,0.35784212769285095
rank1_fp8,8,0.4984770119190216,0.09912463277578354,0.39935237914323807,0.801145026940808,0.19885497305919198
