strategy,total_bytes,full_total_bytes,byte_saving_sim,bottleneck_bytes,full_bottleneck_bytes,bottleneck_byte_saving,simulated_latency_us,latency_saving,samples,seq_len,top_k,byte_saving_accuracy,mean_ppl,mean_kl_vs_full,local_relative_mse,ppl_delta
full,12706119680.0,12706119680.0,0.0,3759366144.0,3759366144.0,0.0,300749.29151999997,0.0,32,128,8,0.0,15.008773133158684,0.0,0.0,0.0
uniform_int4,3176529920.0,12706119680.0,0.75,939841536.0,3759366144.0,0.75,75187.32287999999,0.75,32,128,8,0.75,21.686980038881305,27.152188777923584,0.0858179442930682,6.678206905722618
rank1_int4,11514920960.0,12706119680.0,0.09375,3450344448.0,3759366144.0,0.08220047852832923,276027.55584,0.08220047852832923,32,128,8,0.09375,19.496568769216537,20.98921576142311,0.0294782517637292,4.487795636057854
rank2_int4,11514920960.0,12706119680.0,0.09375,3427595264.0,3759366144.0,0.08825181354827882,274207.62112,0.08825181354827871,32,128,8,0.09375,15.65282180905342,3.2981235794723034,0.0119850619389551,0.6440486758947372
rank3_int4,11514920960.0,12706119680.0,0.09375,3409117184.0,3759366144.0,0.09316702512709552,272729.37472,0.0931670251270953,32,128,8,0.09375,15.177189722657204,1.6709345504641533,0.0089680592571603,0.1684165894985199
rank4_int4,11514920960.0,12706119680.0,0.09375,3390774272.0,3759366144.0,0.09804628170849428,271261.94175999996,0.09804628170849439,32,128,8,0.09375,15.029113471508026,1.1275070309638977,0.0066948224995737,0.0203403383493423
rank5_int4,11514920960.0,12706119680.0,0.09375,3391609856.0,3759366144.0,0.09782401445172983,271328.78848,0.09782401445172983,32,128,8,0.09375,14.850850343704224,0.9035530854016542,0.0047471983013538,-0.1579227894544601
rank6_int4,11514920960.0,12706119680.0,0.09375,3393532928.0,3759366144.0,0.09731247289755873,271482.63424,0.09731247289755873,32,128,8,0.09375,14.96680462360382,0.6251221131533384,0.0031760120274784,-0.0419685095548629
rank7_int4,11514920960.0,12706119680.0,0.09375,3394538496.0,3759366144.0,0.09704498950767804,271563.07968,0.09704498950767781,32,128,8,0.09375,15.04932513833046,0.4553291650954634,0.001974207515665,0.0405520051717758
rank8_int4,11514920960.0,12706119680.0,0.09375,3404021760.0,3759366144.0,0.09452241957520802,272321.7408,0.0945224195752079,32,128,8,0.09375,14.979717180132866,0.3613607413135469,0.001273774520532,-0.0290559530258178
group0_rank8_int4,12411920384.0,12706119680.0,0.02315414173715702,3711034368.0,3759366144.0,0.012856363053952102,296882.74944000004,0.01285636305395188,32,128,8,0.0237063347236704,15.0065438747406,0.214178926195018,0.0004438550138173,-0.0022292584180831
group1_rank8_int4,12411766784.0,12706119680.0,0.023166230400247567,3693372416.0,3759366144.0,0.017554482716541697,295469.79328,0.017554482716541697,32,128,8,0.0228204021115745,14.998099207878113,0.1775742910103872,0.0002419675799069,-0.0106739252805709
group2_rank8_int4,12409524224.0,12706119680.0,0.023342724881369903,3689988096.0,3759366144.0,0.01845471958370648,295199.04768,0.01845471958370637,32,128,8,0.0237939096715328,14.976126462221146,0.1701351668452844,0.0003287858836474,-0.0326466709375381
group3_rank8_int4,12400068608.0,12706119680.0,0.02408690298122551,3665473536.0,3759366144.0,0.02497564866083979,293237.88288000005,0.024975648660839567,32,128,8,0.0233254855318039,14.964542239904404,0.1651434868108481,0.0002487829134103,-0.04423089325428
