model,placement,policy,policy_family,budget_fraction,shadow_count,candidate_count,selection_split,evaluation_split,mean_uncovered_mass,p50_uncovered_mass,p95_uncovered_mass,p99_uncovered_mass,cvar95_uncovered_mass,max_uncovered_mass,fraction_mass_le_0p10,fraction_mass_le_0p20,fraction_fully_covered,request_cvar95_mean,cvar95_reduction_vs_no_shadow
olmoe_e64k8,calibration_coactivation_balanced,frequency,frequency,0.0,0,1024,calibration,historical test,0.5000000001147398,0.5,0.8656550645828246,0.9999999403953552,0.9309252987489113,1.0000001192092896,0.03591728210449219,0.09116172790527344,0.011041641235351562,0.9301351514781211,0.0
olmoe_e64k8,calibration_coactivation_balanced,gate_mass,gate_mass,0.0,0,1024,calibration,historical test,0.5000000001147398,0.5,0.8656550645828246,0.9999999403953552,0.9309252987489113,1.0000001192092896,0.03591728210449219,0.09116172790527344,0.011041641235351562,0.9301351514781211,0.0
olmoe_e64k8,calibration_coactivation_balanced,cvar_greedy,cvar_greedy,0.0,0,1024,calibration,historical test,0.5000000001147398,0.5,0.8656550645828246,0.9999999403953552,0.9309252987489113,1.0000001192092896,0.03591728210449219,0.09116172790527344,0.011041641235351562,0.9301351514781211,0.0
olmoe_e64k8,calibration_coactivation_balanced,oracle_cvar,oracle_cvar,0.0,0,1024,historical oracle,historical test,0.5000000001147398,0.5,0.8656550645828246,0.9999999403953552,0.9309252987489113,1.0000001192092896,0.03591728210449219,0.09116172790527344,0.011041641235351562,0.9301351514781211,0.0
olmoe_e64k8,calibration_coactivation_balanced,frequency,frequency,0.02,20,1024,calibration,historical test,0.46662240391498155,0.4631749913096428,0.8305753052234649,0.9531476724147797,0.9058713266378826,1.0000001192092896,0.0450592041015625,0.115142822265625,0.014020919799804688,0.9050347551291474,0.026912978028096557
olmoe_e64k8,calibration_coactivation_balanced,gate_mass,gate_mass,0.02,20,1024,calibration,historical test,0.46591620995588734,0.4623749554157257,0.8293126881122586,0.9452156329154968,0.9032610869877898,1.0000001192092896,0.04421234130859375,0.11460304260253906,0.013467788696289062,0.9018588480131191,0.029716897583834
olmoe_e64k8,calibration_coactivation_balanced,cvar_greedy,cvar_greedy,0.02,20,1024,calibration,historical test,0.4786787751014754,0.4838098883628845,0.801805382966995,0.9037697368860246,0.860807514440495,1.0000001192092896,0.036884307861328125,0.09456634521484375,0.01126861572265625,0.8603912773143172,0.07532052722452487
olmoe_e64k8,calibration_coactivation_balanced,oracle_cvar,oracle_cvar,0.02,20,1024,historical oracle,historical test,0.47678824975385004,0.48171359300613403,0.800000011920929,0.9049126297235489,0.8606312747138165,1.0000001192092896,0.037181854248046875,0.09541893005371094,0.011318206787109375,0.860081379157924,0.07550984394726867
olmoe_e64k8,calibration_coactivation_balanced,frequency,frequency,0.05,51,1024,calibration,historical test,0.43054578211732775,0.4236486852169037,0.785542523860931,0.9125192623585463,0.8592571342700832,1.0000001192092896,0.05707740783691406,0.14585113525390625,0.018781661987304688,0.8575400357498155,0.07698594567699935
olmoe_e64k8,calibration_coactivation_balanced,gate_mass,gate_mass,0.05,51,1024,calibration,historical test,0.4291664644377873,0.42157885804772377,0.780865904688835,0.9092451930046082,0.8553294795236245,1.0000001192092896,0.05499458312988281,0.14193344116210938,0.017797470092773438,0.8533049841306798,0.08120503259163925
