mode,rows,hidden,bytes_saved_vs_int8,extra_codec_us_vs_int8,serial_break_even_gbps,h2d_serial_delta_us_vs_int8,modeled_serial_delta_200gbps_us,modeled_serial_delta_400gbps_us
uniform_int4,32,512,8192,-0.14832019805908203,inf,-0.04144012928009033,-0.4760001980590829,-0.31216019805908957
direct_mixed_50,32,512,4096,40.64272165298462,0.8062452185111886,40.691521763801575,40.47888165298462,40.56080165298462
progressive_50,32,512,4032,35.93760013580322,0.8975557599313542,36.12720012664795,35.776320135803225,35.85696013580322
uniform_int4,32,2048,32768,18.125438690185547,14.462767190398772,19.894398748874664,16.81471869018555,17.470078690185552
direct_mixed_50,32,2048,16384,82.37375736236572,1.5911863704772942,84.09423738718033,81.71839736236574,82.04607736236574
progressive_50,32,2048,16320,36.93552017211914,3.534808752972525,36.83504045009613,36.28272017211914,36.60912017211914
uniform_int4,128,512,32768,-0.08096098899841309,inf,-0.1788809895515442,-1.3916809889984165,-0.7363209889984148
direct_mixed_50,128,512,16384,41.13983869552612,3.1860115196381122,41.0539186000824,40.48447869552612,40.81215869552612
progressive_50,128,512,16128,35.79087972640991,3.6049407275338314,35.69759964942932,35.14575972640992,35.468319726409916
uniform_int4,128,2048,131072,-0.1758408546447754,inf,-2.046080529689789,-5.418720854644775,-2.797280854644768
direct_mixed_50,128,2048,65536,41.494078636169434,12.635248624197434,40.32703876495361,38.872638636169434,40.18335863616943
progressive_50,128,2048,65280,35.64863920211792,14.649647551454732,34.47807937860489,33.037439202117916,34.34303920211792
uniform_int4,512,512,131072,0.327678918838501,3200.0105582526003,-1.5376010537147522,-4.915201081161506,-2.2937610811614917
direct_mixed_50,512,512,65536,41.07167959213257,12.765195025051502,39.919039607048035,38.45023959213257,39.760959592132565
progressive_50,512,512,64512,36.03264093399048,14.323013429558362,34.883520901203156,33.45216093399048,34.74240093399048
uniform_int4,512,2048,524288,-0.2928006649017334,inf,-9.678080081939697,-21.26432066490173,-10.778560664901732
direct_mixed_50,512,2048,262144,41.3212788105011,50.75234988775431,36.549599170684814,30.8355188105011,36.0783988105011
progressive_50,512,2048,261120,35.2729594707489,59.22270292438402,30.59391975402832,24.8281594707489,30.050559470748894
