model,bucket,predictor,baseline,mean_accuracy_diff_pp,ci_low_pp,ci_high_pp,predictor_mean_accuracy,baseline_mean_accuracy,n_docs,p_value_raw,p_value_holm,passes_5pp_gate
olmoe,early,top1_transition,freq_baseline,17.72026909722222,16.938612196180554,18.421223958333332,0.25932074652777776,0.08211805555555556,45,0.0,0.0,True
olmoe,early,topk_transition,freq_baseline,3.9040798611111107,3.596950954861111,4.227430555555555,0.12115885416666666,0.08211805555555556,45,0.0,0.0,False
olmoe,early,neighbor_same_layer,freq_baseline_same_layer,13.509803921568627,12.556617647058824,14.473883442265794,0.20778867102396512,0.07269063180827888,45,0.0,0.0,True
olmoe,late,top1_transition,freq_baseline,20.50347222222222,19.506293402777775,21.41393849206348,0.29026537698412697,0.08523065476190475,45,0.0,0.0,True
olmoe,late,topk_transition,freq_baseline,8.432539682539682,7.718222966269842,9.169177827380953,0.1695560515873016,0.08523065476190475,45,0.0,0.0,True
olmoe,late,neighbor_same_layer,freq_baseline_same_layer,13.284313725490197,12.202505446623093,14.379112200435728,0.22345315904139432,0.09061002178649238,45,0.0,0.0,True
olmoe,all,top1_transition,freq_baseline,19.01909722222222,18.378660300925926,19.623321759259262,0.27376157407407403,0.08357060185185186,45,0.0,0.0,True
olmoe,all,topk_transition,freq_baseline,6.017361111111113,5.597786458333333,6.450303819444443,0.14374421296296297,0.08357060185185186,45,0.0,0.0,True
olmoe,all,neighbor_same_layer,freq_baseline_same_layer,13.397058823529411,12.582679738562092,14.212486383442263,0.21562091503267977,0.08165032679738561,45,0.0,0.0,True
llmjp,early,top1_transition,freq_baseline,14.741210937499998,14.182108561197918,15.280924479166666,0.25917154947916665,0.11175944010416666,60,0.0,0.0,True
llmjp,early,topk_transition,freq_baseline,1.9734700520833333,1.8375447591145833,2.1142578125,0.131494140625,0.11175944010416666,60,0.0,0.0,False
llmjp,early,neighbor_same_layer,freq_baseline_same_layer,8.63153594771242,8.098815359477125,9.227287581699345,0.22732843137254904,0.14101307189542486,60,0.0,0.0,True
llmjp,late,top1_transition,freq_baseline,12.837611607142858,11.88330078125,13.76304408482143,0.2660435267857143,0.1376674107142857,60,0.0,0.0,True
llmjp,late,topk_transition,freq_baseline,1.2100074404761902,1.1290922619047619,1.2890624999999998,0.1497674851190476,0.1376674107142857,60,0.0,0.0,False
llmjp,late,neighbor_same_layer,freq_baseline_same_layer,10.805555555555554,9.921446078431371,11.670792483660133,0.24592320261437908,0.1378676470588235,60,0.0,0.0,True
llmjp,all,top1_transition,freq_baseline,13.852864583333336,13.328559027777779,14.399305555555555,0.26237847222222227,0.1238498263888889,60,0.0,0.0,True
llmjp,all,topk_transition,freq_baseline,1.6171874999999998,1.516482204861111,1.720052083333333,0.1400217013888889,0.1238498263888889,60,0.0,0.0,False
llmjp,all,neighbor_same_layer,freq_baseline_same_layer,9.718545751633984,9.207894199346406,10.259415849673204,0.23662581699346408,0.1394403594771242,60,0.0,0.0,True
