sample_id,layer,bucket,predictor,accuracy,n_tokens
1,0,early,freq_baseline,0.19140625,256
1,0,early,top1_transition,0.22265625,256
1,0,early,topk_transition,0.2734375,256
1,1,early,freq_baseline,0.1015625,256
1,1,early,top1_transition,0.12890625,256
1,1,early,topk_transition,0.09765625,256
1,2,early,freq_baseline,0.04296875,256
1,2,early,top1_transition,0.16015625,256
1,2,early,topk_transition,0.05859375,256
1,3,early,freq_baseline,0.109375,256
1,3,early,top1_transition,0.2421875,256
1,3,early,topk_transition,0.125,256
1,4,early,freq_baseline,0.08984375,256
1,4,early,top1_transition,0.23046875,256
1,4,early,topk_transition,0.09375,256
1,5,early,freq_baseline,0.11328125,256
1,5,early,top1_transition,0.37890625,256
1,5,early,topk_transition,0.12890625,256
1,6,early,freq_baseline,0.046875,256
1,6,early,top1_transition,0.28125,256
1,6,early,topk_transition,0.08203125,256
1,7,early,freq_baseline,0.05078125,256
1,7,early,top1_transition,0.29296875,256
1,7,early,topk_transition,0.0703125,256
1,8,late,freq_baseline,0.04296875,256
1,8,late,top1_transition,0.1953125,256
1,8,late,topk_transition,0.0625,256
1,9,late,freq_baseline,0.125,256
1,9,late,top1_transition,0.2109375,256
1,9,late,topk_transition,0.15234375,256
1,10,late,freq_baseline,0.0859375,256
1,10,late,top1_transition,0.26171875,256
1,10,late,topk_transition,0.09765625,256
1,11,late,freq_baseline,0.0078125,256
1,11,late,top1_transition,0.16796875,256
1,11,late,topk_transition,0.01953125,256
1,12,late,freq_baseline,0.328125,256
1,12,late,top1_transition,0.2734375,256
1,12,late,topk_transition,0.3359375,256
1,13,late,freq_baseline,0.046875,256
1,13,late,top1_transition,0.3125,256
1,13,late,topk_transition,0.05078125,256
1,14,late,freq_baseline,0.06640625,256
1,14,late,top1_transition,0.33984375,256
1,14,late,topk_transition,0.07421875,256
1,0,early,neighbor_same_layer,0.30980392156862746,255
1,0,early,freq_baseline_same_layer,0.3254901960784314,255
1,1,early,neighbor_same_layer,0.21176470588235294,255
1,1,early,freq_baseline_same_layer,0.19215686274509805,255
1,2,early,neighbor_same_layer,0.1607843137254902,255
1,2,early,freq_baseline_same_layer,0.09803921568627451,255
1,3,early,neighbor_same_layer,0.16862745098039217,255
1,3,early,freq_baseline_same_layer,0.0392156862745098,255
1,4,early,neighbor_same_layer,0.19215686274509805,255
1,4,early,freq_baseline_same_layer,0.10980392156862745,255
1,5,early,neighbor_same_layer,0.20392156862745098,255
1,5,early,freq_baseline_same_layer,0.09019607843137255,255
1,6,early,neighbor_same_layer,0.20784313725490197,255
1,6,early,freq_baseline_same_layer,0.11372549019607843,255
1,7,early,neighbor_same_layer,0.1843137254901961,255
1,7,early,freq_baseline_same_layer,0.047058823529411764,255
1,8,late,neighbor_same_layer,0.3058823529411765,255
1,8,late,freq_baseline_same_layer,0.050980392156862744,255
