sample_id,layer,bucket,predictor,accuracy,n_tokens
16,0,early,freq_baseline,0.0703125,256
16,0,early,top1_transition,0.234375,256
16,0,early,topk_transition,0.10546875,256
16,1,early,freq_baseline,0.0390625,256
16,1,early,top1_transition,0.1640625,256
16,1,early,topk_transition,0.078125,256
16,2,early,freq_baseline,0.03515625,256
16,2,early,top1_transition,0.24609375,256
16,2,early,topk_transition,0.078125,256
16,3,early,freq_baseline,0.05078125,256
16,3,early,top1_transition,0.27734375,256
16,3,early,topk_transition,0.13671875,256
16,4,early,freq_baseline,0.0390625,256
16,4,early,top1_transition,0.3828125,256
16,4,early,topk_transition,0.0703125,256
16,5,early,freq_baseline,0.0703125,256
16,5,early,top1_transition,0.1796875,256
16,5,early,topk_transition,0.11328125,256
16,6,early,freq_baseline,0.03515625,256
16,6,early,top1_transition,0.265625,256
16,6,early,topk_transition,0.09765625,256
16,7,early,freq_baseline,0.08984375,256
16,7,early,top1_transition,0.23828125,256
16,7,early,topk_transition,0.125,256
16,8,late,freq_baseline,0.109375,256
16,8,late,top1_transition,0.34375,256
16,8,late,topk_transition,0.18359375,256
16,9,late,freq_baseline,0.0625,256
16,9,late,top1_transition,0.2734375,256
16,9,late,topk_transition,0.17578125,256
16,10,late,freq_baseline,0.0625,256
16,10,late,top1_transition,0.31640625,256
16,10,late,topk_transition,0.140625,256
16,11,late,freq_baseline,0.359375,256
16,11,late,top1_transition,0.171875,256
16,11,late,topk_transition,0.41015625,256
16,12,late,freq_baseline,0.05859375,256
16,12,late,top1_transition,0.33984375,256
16,12,late,topk_transition,0.125,256
16,13,late,freq_baseline,0.1015625,256
16,13,late,top1_transition,0.35546875,256
16,13,late,topk_transition,0.15625,256
16,14,late,freq_baseline,0.06640625,256
16,14,late,top1_transition,0.203125,256
16,14,late,topk_transition,0.125,256
16,0,early,neighbor_same_layer,0.14901960784313725,255
16,0,early,freq_baseline_same_layer,0.043137254901960784,255
16,1,early,neighbor_same_layer,0.19215686274509805,255
16,1,early,freq_baseline_same_layer,0.07058823529411765,255
16,2,early,neighbor_same_layer,0.15294117647058825,255
16,2,early,freq_baseline_same_layer,0.0392156862745098,255
16,3,early,neighbor_same_layer,0.23137254901960785,255
16,3,early,freq_baseline_same_layer,0.03529411764705882,255
16,4,early,neighbor_same_layer,0.30196078431372547,255
16,4,early,freq_baseline_same_layer,0.050980392156862744,255
16,5,early,neighbor_same_layer,0.5686274509803921,255
16,5,early,freq_baseline_same_layer,0.0392156862745098,255
16,6,early,neighbor_same_layer,0.24705882352941178,255
16,6,early,freq_baseline_same_layer,0.07058823529411765,255
16,7,early,neighbor_same_layer,0.33725490196078434,255
16,7,early,freq_baseline_same_layer,0.03529411764705882,255
16,8,late,neighbor_same_layer,0.2627450980392157,255
16,8,late,freq_baseline_same_layer,0.09019607843137255,255
16,9,late,neighbor_same_layer,0.2196078431372549,255
16,9,late,freq_baseline_same_layer,0.10980392156862745,255
16,10,late,neighbor_same_layer,0.23529411764705882,255
16,10,late,freq_baseline_same_layer,0.06274509803921569,255
16,11,late,neighbor_same_layer,0.3215686274509804,255
16,11,late,freq_baseline_same_layer,0.06274509803921569,255
16,12,late,neighbor_same_layer,0.36470588235294116,255
16,12,late,freq_baseline_same_layer,0.3607843137254902,255
16,13,late,neighbor_same_layer,0.3176470588235294,255
16,13,late,freq_baseline_same_layer,0.058823529411764705,255
16,14,late,neighbor_same_layer,0.20784313725490197,255
16,14,late,freq_baseline_same_layer,0.10196078431372549,255
16,15,late,neighbor_same_layer,0.3137254901960784,255
16,15,late,freq_baseline_same_layer,0.06666666666666667,255
17,0,early,freq_baseline,0.02734375,256
17,0,early,top1_transition,0.23046875,256
17,0,early,topk_transition,0.04296875,256
17,1,early,freq_baseline,0.04296875,256
17,1,early,top1_transition,0.203125,256
17,1,early,topk_transition,0.08984375,256
17,2,early,freq_baseline,0.10546875,256
17,2,early,top1_transition,0.22265625,256
17,2,early,topk_transition,0.16015625,256
17,3,early,freq_baseline,0.078125,256
17,3,early,top1_transition,0.26953125,256
17,3,early,topk_transition,0.1484375,256
17,4,early,freq_baseline,0.0859375,256
17,4,early,top1_transition,0.29296875,256
17,4,early,topk_transition,0.11328125,256
17,5,early,freq_baseline,0.0546875,256
17,5,early,top1_transition,0.2734375,256
17,5,early,topk_transition,0.10546875,256
17,6,early,freq_baseline,0.0546875,256
17,6,early,top1_transition,0.28515625,256
17,6,early,topk_transition,0.12109375,256
17,7,early,freq_baseline,0.12109375,256
17,7,early,top1_transition,0.2890625,256
17,7,early,topk_transition,0.15625,256
17,8,late,freq_baseline,0.17578125,256
17,8,late,top1_transition,0.33203125,256
17,8,late,topk_transition,0.19921875,256
17,9,late,freq_baseline,0.05078125,256
17,9,late,top1_transition,0.3125,256
17,9,late,topk_transition,0.171875,256
17,10,late,freq_baseline,0.10546875,256
17,10,late,top1_transition,0.3359375,256
17,10,late,topk_transition,0.22265625,256
17,11,late,freq_baseline,0.08203125,256
17,11,late,top1_transition,0.3046875,256
17,11,late,topk_transition,0.21875,256
17,12,late,freq_baseline,0.04296875,256
17,12,late,top1_transition,0.3125,256
17,12,late,topk_transition,0.17578125,256
17,13,late,freq_baseline,0.08984375,256
17,13,late,top1_transition,0.1953125,256
17,13,late,topk_transition,0.1484375,256
17,14,late,freq_baseline,0.07421875,256
17,14,late,top1_transition,0.23828125,256
17,14,late,topk_transition,0.14453125,256
17,0,early,neighbor_same_layer,0.10980392156862745,255
17,0,early,freq_baseline_same_layer,0.01568627450980392,255
17,1,early,neighbor_same_layer,0.12549019607843137,255
17,1,early,freq_baseline_same_layer,0.027450980392156862,255
17,2,early,neighbor_same_layer,0.0784313725490196,255
17,2,early,freq_baseline_same_layer,0.043137254901960784,255
17,3,early,neighbor_same_layer,0.16470588235294117,255
17,3,early,freq_baseline_same_layer,0.10588235294117647,255
17,4,early,neighbor_same_layer,0.17647058823529413,255
17,4,early,freq_baseline_same_layer,0.0784313725490196,255
17,5,early,neighbor_same_layer,0.21568627450980393,255
17,5,early,freq_baseline_same_layer,0.08627450980392157,255
17,6,early,neighbor_same_layer,0.19607843137254902,255
17,6,early,freq_baseline_same_layer,0.054901960784313725,255
17,7,early,neighbor_same_layer,0.28627450980392155,255
17,7,early,freq_baseline_same_layer,0.054901960784313725,255
17,8,late,neighbor_same_layer,0.2823529411764706,255
17,8,late,freq_baseline_same_layer,0.12156862745098039,255
17,9,late,neighbor_same_layer,0.25882352941176473,255
17,9,late,freq_baseline_same_layer,0.17647058823529413,255
17,10,late,neighbor_same_layer,0.15294117647058825,255
17,10,late,freq_baseline_same_layer,0.050980392156862744,255
17,11,late,neighbor_same_layer,0.2196078431372549,255
17,11,late,freq_baseline_same_layer,0.10588235294117647,255
17,12,late,neighbor_same_layer,0.18823529411764706,255
17,12,late,freq_baseline_same_layer,0.08235294117647059,255
17,13,late,neighbor_same_layer,0.16470588235294117,255
17,13,late,freq_baseline_same_layer,0.043137254901960784,255
17,14,late,neighbor_same_layer,0.2,255
17,14,late,freq_baseline_same_layer,0.09019607843137255,255
17,15,late,neighbor_same_layer,0.19215686274509805,255
17,15,late,freq_baseline_same_layer,0.07450980392156863,255
18,0,early,freq_baseline,0.05078125,256
18,0,early,top1_transition,0.26171875,256
18,0,early,topk_transition,0.10546875,256
18,1,early,freq_baseline,0.1015625,256
18,1,early,top1_transition,0.28515625,256
18,1,early,topk_transition,0.140625,256
18,2,early,freq_baseline,0.02734375,256
18,2,early,top1_transition,0.25390625,256
