model,k,mean_accuracy_diff_pp,ci_low_pp,ci_high_pp,predictor_mean_accuracy,baseline_mean_accuracy,n_docs,p_value_raw,p_value_holm,passes_5pp_gate
olmoe,1,19.01909722222222,18.378660300925926,19.623321759259262,0.27376157407407403,0.08357060185185186,45,0.0,0.0,True
olmoe,2,18.526785714285715,18.022057911706348,19.029017857142858,0.2709697420634921,0.08570188492063492,45,0.0,0.0,True
olmoe,3,17.85857371794872,17.350210336538463,18.40079126602564,0.2654780982905983,0.08689236111111111,45,0.0,0.0,True
olmoe,4,16.752025462962962,16.08427372685185,17.449381510416664,0.25664062499999996,0.08912037037037038,45,0.0,0.0,True
olmoe,6,14.548611111111109,13.877604166666666,15.18428819444444,0.23169270833333327,0.08620659722222224,45,0.0,0.0,True
olmoe,8,14.110243055555555,13.354871961805555,14.781901041666668,0.23135850694444443,0.09025607638888888,45,0.0,0.0,True
llmjp,1,13.852864583333336,13.328559027777779,14.399305555555555,0.26237847222222227,0.1238498263888889,60,0.0,0.0,True
llmjp,2,13.647693452380953,13.129603794642861,14.15658714657738,0.25436197916666664,0.11788504464285716,60,0.0,0.0,True
llmjp,3,11.927584134615385,11.476800380608971,12.411871494391026,0.2394230769230769,0.12014723557692308,60,0.0,0.0,True
llmjp,4,12.335069444444445,11.857625325520834,12.840169270833332,0.24734700520833333,0.1239963107638889,60,0.0,0.0,True
llmjp,6,10.151041666666666,9.488134765625002,10.817740885416665,0.2286067708333333,0.12709635416666668,60,0.0,0.0,True
llmjp,8,8.142903645833334,7.468892415364584,8.820027669270832,0.21875813802083333,0.1373291015625,60,0.0,0.0,True
