model,budget_n,budget_frac_of_experts,transition_hit_rate,freq_hit_rate,mean_hit_rate_diff_pp,ci_low_pp,ci_high_pp,n_docs
olmoe,1,0.015625,0.27376157407407403,0.08357060185185186,19.01909722222222,18.378660300925926,19.623321759259262,45
olmoe,2,0.03125,0.4170659722222222,0.14501157407407408,27.20543981481482,26.41484375,27.99075520833333,45
olmoe,3,0.046875,0.5110590277777778,0.19855324074074077,31.250578703703702,30.34075520833333,32.13541666666666,45
olmoe,4,0.0625,0.5807638888888887,0.2506481481481482,33.011574074074076,31.936877893518513,34.04978298611111,45
olmoe,6,0.09375,0.6797453703703704,0.3306423611111111,34.910300925925924,33.55373263888889,36.22880497685185,45
olmoe,8,0.125,0.742638888888889,0.4014236111111111,34.12152777777778,32.70733506944444,35.44968171296296,45
olmoe,12,0.1875,0.8177835648148146,0.5181134259259259,29.967013888888882,28.462702546296292,31.41267361111111,45
olmoe,16,0.25,0.8608217592592594,0.611099537037037,24.97222222222222,23.452401620370363,26.402459490740732,45
llmjp,1,0.03125,0.26237847222222227,0.1238498263888889,13.852864583333336,13.328559027777779,14.399305555555555,60
llmjp,2,0.0625,0.4098741319444444,0.22439670138888887,18.547743055555557,17.6896484375,19.409993489583332,60
llmjp,3,0.09375,0.5168272569444444,0.2961501736111111,22.06770833333333,21.141840277777778,22.957584635416666,60
llmjp,4,0.125,0.5971875000000001,0.3615581597222222,23.56293402777778,22.60323350694444,24.556890190972226,60
llmjp,6,0.1875,0.7108116319444444,0.46608940972222224,24.47222222222222,23.463476562500006,25.43933376736111,60
llmjp,8,0.25,0.7854253472222223,0.5565928819444445,22.883246527777775,21.861859809027777,23.92622612847222,60
llmjp,12,0.375,0.8703428819444444,0.6949131944444444,17.54296875,16.617144097222226,18.517480468749994,60
llmjp,16,0.5,0.9149609375,0.8032855902777778,11.167534722222223,10.528960503472224,11.932194010416667,60
