mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
full,0,320,198,0.61875,0.046875,327680,1024.0,1.762593734722378,0.016430196466108903,0.026552326056265965,0.0
full,1,320,208,0.65,0.096875,327680,1024.0,1.8180953351863904,0.014792046686569417,0.02506791233907471,0.0
full,2,320,184,0.575,0.034375,327680,1024.0,1.8860755687507624,0.013899745247443758,0.02614202312772151,0.0
full,3,320,176,0.55,0.03125,327680,1024.0,2.252668572118275,0.013868648942462902,0.037274240089103364,0.0
full,4,320,175,0.546875,0.03125,327680,1024.0,65.5280411334023,0.013690334640184426,1.7476222262757104,0.0
full,5,320,189,0.590625,0.046875,327680,1024.0,3.2452057041063513,0.013558316152517045,0.0626452417698725,0.0
full,6,320,190,0.59375,0.046875,327680,1024.0,1.4579366518758534,0.01371454373425873,0.020097332253941058,0.0
full,7,320,174,0.54375,0.059375,327680,1024.0,1.459520342192869,0.013522211498637152,0.02019489799867477,0.0
full,8,320,209,0.653125,0.0625,327680,1024.0,1.3307372375858977,0.01387404571942029,0.018527156292032446,0.0
full,9,320,206,0.64375,0.04375,327680,1024.0,1.3124259814400139,0.013594834651145629,0.018200563764519628,0.0
full,10,320,199,0.621875,0.078125,327680,1024.0,1.3931573280863307,0.014322404090828609,0.01910953126113262,0.0
full,11,320,200,0.625,0.046875,327680,1024.0,1.3389383869393094,0.013839219938164825,0.018305369448190088,0.0
full,12,320,203,0.634375,0.05,327680,1024.0,1.4185231867746184,0.013991733050062235,0.01964547692974019,0.0
full,13,320,187,0.584375,0.0375,327680,1024.0,1.4789909487647581,0.013917151894628802,0.020579128838851376,0.0
full,14,320,194,0.60625,0.084375,327680,1024.0,2.27950658870579,0.014666072774939368,0.043217205769689335,0.0
full,15,320,198,0.61875,0.059375,327680,1024.0,11.126855289473381,0.017933640336435023,0.27515389250196676,0.0
uniform_fp8,0,320,198,0.61875,0.046875,165120,516.0,1.762593734722378,0.016430196466108903,0.026552326056265965,0.0002359922973223499
uniform_fp8,1,320,207,0.646875,0.09375,165120,516.0,1.812562097533252,0.01481139646274855,0.02499842788515998,0.0003469157083860442
uniform_fp8,2,320,183,0.571875,0.04375,165120,516.0,1.884580287877954,0.013898128407364157,0.026188987772404894,0.000499202501656347
uniform_fp8,3,320,175,0.546875,0.046875,165120,516.0,2.2661786726559496,0.013878962232106965,0.03741151121354955,0.00021311728297518262
uniform_fp8,4,320,175,0.546875,0.03125,165120,516.0,65.18213945711724,0.013720374749470434,1.7539648418209577,0.0005141970874917545
uniform_fp8,5,320,187,0.584375,0.04375,165120,516.0,3.220818559798586,0.013537010421990249,0.06061759335732734,0.0005137038724181731
uniform_fp8,6,320,192,0.6,0.034375,165120,516.0,1.4598964550391464,0.013702922756519301,0.02016533538420615,0.00032636838885287915
uniform_fp8,7,320,174,0.54375,0.040625,165120,516.0,1.4543257852364107,0.013482297874249987,0.020000056431295675,0.0003547191510431571
uniform_fp8,8,320,214,0.66875,0.06875,165120,516.0,1.3245182109247515,0.01389436380220494,0.018363857140840004,0.0004312063688976664
uniform_fp8,9,320,209,0.653125,0.040625,165120,516.0,1.3381299669559792,0.013634226610539712,0.018529381443060156,0.00047623543564854424
uniform_fp8,10,320,197,0.615625,0.06875,165120,516.0,1.3883244627864455,0.01435274246683487,0.01892482591266295,0.0004260194461825988
uniform_fp8,11,320,199,0.621875,0.0375,165120,516.0,1.341002239532157,0.013757878500677171,0.018303800128445055,0.0004667946675990993
uniform_fp8,12,320,201,0.628125,0.05,165120,516.0,1.4214069393364004,0.014000194333471223,0.01972951874378173,0.0004923311350292194
uniform_fp8,13,320,189,0.590625,0.0625,165120,516.0,1.4778077230914124,0.013995887300672534,0.0203694362461387,0.0005264880037637832
uniform_fp8,14,320,193,0.603125,0.065625,165120,516.0,2.258735561587659,0.014623963564075047,0.042931552590058694,0.00031351104021248524
uniform_fp8,15,320,197,0.615625,0.0625,165120,516.0,10.924259488584152,0.018108361502328467,0.2750406517659462,0.00020414436052444733
uniform_mxfp4,0,320,198,0.61875,0.046875,87040,272.0,1.762593734722378,0.016430196466108903,0.026552326056265965,0.005863425468961627
uniform_mxfp4,1,320,207,0.646875,0.071875,87040,272.0,1.8118204876098851,0.014880146418861023,0.024978555629950265,0.007034513928368391
uniform_mxfp4,2,320,188,0.5875,0.05625,87040,272.0,1.8700905223123898,0.013911963818255458,0.025884744155047084,0.009348980384914619
uniform_mxfp4,3,320,171,0.534375,0.03125,87040,272.0,2.1984688860161614,0.013936732895146959,0.03645675683023188,0.01109653782569637
uniform_mxfp4,4,320,177,0.553125,0.0625,87040,272.0,63.555288924518365,0.013659582072905928,1.729889837276281,0.02257202845193208
uniform_mxfp4,5,320,183,0.571875,0.0375,87040,272.0,2.8094193149407714,0.013600362030889025,0.05945533454615813,0.029076852255473865
