mode,layer,pairs,revisits,revisit_rate,same_rank_revisit_rate,payload_bytes,payload_bytes_per_pair,residual_to_raw_energy,direct_hit_rel_mse,temporal_hit_rel_mse,combine_relative_mse
full,0,152,55,0.3618421052631579,0.046052631578947366,622592,4096.0,1.55362897780492,0.01932750337120663,0.030492969055774335,0.0
full,1,152,49,0.3223684210526316,0.046052631578947366,622592,4096.0,1.7969009394476334,0.013826477911425883,0.024649690322508012,0.0
full,2,152,59,0.3881578947368421,0.05921052631578947,622592,4096.0,1.5360268731888822,0.013762169646156808,0.02108888275014237,0.0
full,3,152,50,0.32894736842105265,0.05263157894736842,622592,4096.0,1.496285084960988,0.013757589260337485,0.020680452541341314,0.0
full,4,152,67,0.4407894736842105,0.13815789473684212,622592,4096.0,1.341072601511249,0.013754008637706164,0.018368256725478208,0.0
full,5,152,71,0.46710526315789475,0.05921052631578947,622592,4096.0,1.363989309056099,0.014104628841926798,0.01866541245664335,0.0
full,6,152,68,0.4473684210526316,0.09868421052631579,622592,4096.0,1.4062646094226874,0.01405118932889497,0.018528686922607104,0.0
full,7,152,66,0.4342105263157895,0.039473684210526314,622592,4096.0,1.343306587441248,0.01432406107142892,0.018539853330398592,0.0
full,8,152,60,0.39473684210526316,0.05263157894736842,622592,4096.0,1.2962993783893464,0.01417719387457466,0.018326154473861034,0.0
full,9,152,55,0.3618421052631579,0.05921052631578947,622592,4096.0,1.4333065846862754,0.014334361995018759,0.019862671982487628,0.0
full,10,152,40,0.2631578947368421,0.05921052631578947,622592,4096.0,1.2912314729175984,0.013835155177335082,0.01795724466970644,0.0
full,11,152,60,0.39473684210526316,0.046052631578947366,622592,4096.0,1.0990865644206984,0.013875119846534126,0.01562502638681516,0.0
full,12,152,60,0.39473684210526316,0.09210526315789473,622592,4096.0,1.09158747623021,0.014051063540943454,0.015275480343172538,0.0
full,13,152,59,0.3881578947368421,0.07236842105263158,622592,4096.0,0.9869382657575096,0.014242460729279297,0.013884670506868365,0.0
full,14,152,62,0.40789473684210525,0.11842105263157894,622592,4096.0,1.065764268509095,0.01592540825985495,0.015287176107229648,0.0
full,15,152,58,0.3815789473684211,0.10526315789473684,622592,4096.0,0.8882051334572584,0.01934040149329752,0.015113264383264395,0.0
uniform_fp8,0,152,55,0.3618421052631579,0.046052631578947366,311904,2052.0,1.55362897780492,0.01932750337120663,0.030492969055774335,0.0004310503886198071
uniform_fp8,1,152,49,0.3223684210526316,0.039473684210526314,311904,2052.0,1.7975565200553838,0.013833038290809209,0.02460847211420686,9.988993074063182e-05
uniform_fp8,2,152,59,0.3881578947368421,0.05263157894736842,311904,2052.0,1.5344994591329968,0.013751230048513441,0.021113916893167918,2.9825197161535335e-05
uniform_fp8,3,152,50,0.32894736842105265,0.06578947368421052,311904,2052.0,1.4966438253902496,0.013744924350281601,0.02072540092129313,2.804945070687654e-05
