model,threshold_mult,min_p99_improvement,mean_trigger_rate,passes_5pct_gate
llmjp,0.0,-0.03175407685037357,0.14276041666666667,False
llmjp,0.5,-3.705902801577928e-14,0.0,False
llmjp,1.0,-3.705902801577928e-14,0.0,False
llmjp,1.5,-3.705902801577928e-14,0.0,False
llmjp,2.0,-3.705902801577928e-14,0.0,False
llmjp,3.0,-3.705902801577928e-14,0.0,False
llmjp,4.0,-3.705902801577928e-14,0.0,False
llmjp,6.0,-3.705902801577928e-14,0.0,False
olmoe,0.0,0.0214705405973707,0.5205094401041667,False
olmoe,0.5,-2.9038076516085116e-15,0.0,False
olmoe,1.0,-2.9038076516085116e-15,0.0,False
olmoe,1.5,-2.9038076516085116e-15,0.0,False
olmoe,2.0,-2.9038076516085116e-15,0.0,False
olmoe,3.0,-2.9038076516085116e-15,0.0,False
olmoe,4.0,-2.9038076516085116e-15,0.0,False
olmoe,6.0,-2.9038076516085116e-15,0.0,False
