cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,6,False,COMPLETE,1.959442492603849,1.0,1.959442492603849,16,2.515284365043044,0.17089220037062963,,
1,0,steady,6,True,COMPLETE,1.7938766306501441,0.9375,1.9134684060268203,16,2.6020710580050945,0.17437800988554955,0.41326904296875,5.859375081645946
2,0,steady,8,False,COMPLETE,1.7987661532195958,0.8125,2.21386603473181,16,1.9564503207802773,0.19504306986927986,,
3,0,steady,8,True,COMPLETE,0.9297087755570116,0.4375,2.125048629844598,16,2.1979812029749155,0.20832283683121205,0.47637774493243246,5.723889994460183
4,0,bursty,6,False,COMPLETE,1.379362903810521,0.75,1.839150538414028,16,2.9222745988518,0.18280495007832848,,
5,0,bursty,6,True,COMPLETE,1.4666252072094657,0.8125,1.8050771781039576,16,2.790755158290267,0.18751169803241888,0.41326904296875,5.859375081645946
6,0,bursty,8,False,COMPLETE,0.9256962167058007,0.4375,2.115877066756116,16,1.962281884625554,0.202631959070762,,
7,0,bursty,8,True,COMPLETE,0.8026705940221913,0.375,2.1404549173925105,16,2.005908489227295,0.2030585880080859,0.47637774493243246,5.723889994460183
8,1,steady,8,True,COMPLETE,1.5254735995083777,0.6875,2.2188706901940036,16,2.0728098768740892,0.19830888931949933,0.47637774493243246,5.723889994460183
9,1,steady,8,False,COMPLETE,1.0934257676097001,0.5,2.1868515352194002,16,2.1081014797091484,0.2031812846660614,,
10,1,steady,6,True,COMPLETE,1.4951193698748457,0.8125,1.840146916769041,16,2.709077563136816,0.18333584144711496,0.41326904296875,5.859375081645946
11,1,steady,6,False,COMPLETE,1.628841281678875,0.875,1.8615328933472859,16,2.6035185027867556,0.1783146963765224,,
12,1,bursty,8,True,COMPLETE,1.3388905674184295,0.625,2.1422249078694873,16,1.881538612768054,0.1963025106738011,0.47637774493243246,5.723889994460183
13,1,bursty,8,False,COMPLETE,2.257069798018646,1.0,2.257069798018646,16,1.9460733383893967,0.19594165086746215,,
14,1,bursty,6,True,COMPLETE,1.7841280929876258,0.9375,1.9030699658534673,16,2.775476226583123,0.17491693757474422,0.41326904296875,5.859375081645946
15,1,bursty,6,False,COMPLETE,1.6371572426561953,0.875,1.8710368487499376,16,2.868609504774213,0.18093865650395552,,
