cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,6,False,COMPLETE,2.0040469981911535,1.0,2.0040469981911535,16,2.405644515529275,0.1687404571721951,,
1,0,steady,6,True,COMPLETE,1.8251365655398533,0.9375,1.9468123365758434,16,2.606915969401598,0.17426200620830057,0.41326904296875,5.859375081645946
2,0,steady,8,False,COMPLETE,1.7056262540336913,0.75,2.274168338711588,16,1.9094087574630976,0.19567535494764646,,
3,0,steady,8,True,COMPLETE,1.2560873822577974,0.5625,2.233044235124973,16,1.9282356221228838,0.19710594788193703,0.47637774493243246,5.723889994460183
4,0,bursty,6,False,COMPLETE,1.9320035054772435,1.0,1.9320035054772435,16,2.5125746838748455,0.17049036733806133,,
5,0,bursty,6,True,COMPLETE,1.9871813629954598,1.0,1.9871813629954598,16,2.543644793331623,0.17048246301710607,0.41326904296875,5.859375081645946
6,0,bursty,8,False,COMPLETE,2.3574957085608,1.0,2.3574957085608,16,1.7638778202235699,0.18881394515434902,,
7,0,bursty,8,True,COMPLETE,2.322048456657745,1.0,2.322048456657745,16,1.860561490058899,0.19160854468743005,0.47637774493243246,5.723889994460183
8,1,steady,8,True,COMPLETE,2.322075308754175,1.0,2.322075308754175,16,1.848068356513977,0.18924340767165027,0.47637774493243246,5.723889994460183
9,1,steady,8,False,COMPLETE,2.328775979648527,1.0,2.328775979648527,16,1.8841898292303085,0.19101537540555003,,
10,1,steady,6,True,COMPLETE,1.9716099564795073,1.0,1.9716099564795073,16,2.48891575448215,0.16896919670204322,0.41326904296875,5.859375081645946
11,1,steady,6,False,COMPLETE,2.008921283696237,1.0,2.008921283696237,16,2.51267415843904,0.1685075994580984,,
12,1,bursty,8,True,COMPLETE,2.087710560595099,0.9375,2.226891264634772,16,1.861953454092145,0.192328613003095,0.47637774493243246,5.723889994460183
13,1,bursty,8,False,COMPLETE,2.3353619777729264,1.0,2.3353619777729264,16,1.860446648672223,0.1891165594259898,,
14,1,bursty,6,True,COMPLETE,1.9972669052053014,1.0,1.9972669052053014,16,2.464719546958804,0.16842258386313913,0.41326904296875,5.859375081645946
15,1,bursty,6,False,COMPLETE,1.9778995584746557,1.0,1.9778995584746557,16,2.5222347732633352,0.1700836216410001,,
