cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,4,False,COMPLETE,1.2057139212759058,0.75,1.6076185617012078,16,3.419722903519869,0.1496035451690356,,
1,0,steady,4,True,COMPLETE,1.2046335471816336,0.75,1.606178062908845,16,3.4181489180773497,0.15050867199897766,0.3558097718253968,6.121031747923957
2,0,steady,6,False,COMPLETE,1.9552795748697986,1.0,1.9552795748697986,16,2.542056044563651,0.17323395137985548,,
3,0,steady,6,True,COMPLETE,1.7960703285780952,0.9375,1.9158083504833014,16,2.6144250333309174,0.1764459771414598,0.4215087890625,5.964062589531143
4,0,steady,8,False,COMPLETE,1.403613108544427,0.625,2.245780973671083,16,1.934282772243023,0.19654654214779538,,
5,0,steady,8,True,COMPLETE,1.1046794268707065,0.5,2.209358853741413,16,1.9754001069813967,0.20039793178439141,0.4782516891891892,5.7702220356142195
6,0,bursty,4,False,COMPLETE,1.2399831109261135,0.75,1.6533108145681512,16,3.3338997308164835,0.1450289039562146,,
7,0,bursty,4,True,COMPLETE,1.2234733293153903,0.75,1.6312977724205204,16,3.395922577008605,0.14744905543824038,0.3558097718253968,6.121031747923957
8,0,bursty,6,False,COMPLETE,1.814061653785535,0.9375,1.9349990973712372,16,2.5828243494033813,0.1735740010937055,,
9,0,bursty,6,True,COMPLETE,1.8085814741281887,0.9375,1.9291535724034015,16,2.5870222002267838,0.17413867140809697,0.4215087890625,5.964062589531143
10,0,bursty,8,False,COMPLETE,1.546019626991817,0.6875,2.2487558210790066,16,1.908788887783885,0.19461740913490455,,
11,0,bursty,8,True,COMPLETE,0.9530720050206485,0.4375,2.1784502971900537,16,1.9549970980733633,0.20218304072817167,0.4782516891891892,5.7702220356142195
12,1,steady,8,True,COMPLETE,1.098742680885428,0.5,2.197485361770856,16,1.9902471993118525,0.2008073220650355,0.4782516891891892,5.7702220356142195
13,1,steady,8,False,COMPLETE,1.239448543552433,0.5625,2.2034640774265477,16,1.9487550966441631,0.19860514228542647,,
14,1,steady,6,True,COMPLETE,1.6451645370731578,0.875,1.8801880423693231,16,2.656897086650133,0.17887736484408379,0.4215087890625,5.964062589531143
15,1,steady,6,False,COMPLETE,1.955103652040983,1.0,1.955103652040983,16,2.5720294136554003,0.17256633502741653,,
16,1,steady,4,True,COMPLETE,1.246147919805502,0.75,1.6615305597406693,16,3.256742624565959,0.14542519574364027,0.3558097718253968,6.121031747923957
17,1,steady,4,False,COMPLETE,1.2432240135849022,0.75,1.657632018113203,16,3.330319518223405,0.14493879849712055,,
18,1,bursty,8,True,COMPLETE,1.2464029592380041,0.5625,2.215827483089785,16,1.9270566944032907,0.19707859680056572,0.4782516891891892,5.7702220356142195
19,1,bursty,8,False,COMPLETE,1.5616523647374976,0.6875,2.271494348709087,16,1.8775610979646444,0.19394410861035188,,
20,1,bursty,6,True,COMPLETE,1.7784770284759341,0.9375,1.897042163707663,16,2.599929688498378,0.17920906593402228,0.4215087890625,5.964062589531143
21,1,bursty,6,False,COMPLETE,1.7898653709475627,0.9375,1.9091897290107336,16,2.6251396760344505,0.176213339343667,,
22,1,bursty,4,True,COMPLETE,1.216450293546787,0.75,1.6219337247290493,16,3.4060060419142246,0.1484597104291121,0.3558097718253968,6.121031747923957
23,1,bursty,4,False,COMPLETE,1.200863405610437,0.75,1.6011512074805827,16,3.4110431615263224,0.14997777007520197,,
