cell,repeat,regime,cap,telemetry,status,goodput_rps,slo_attainment,throughput_rps,n_completed,ttft_p50_s,tpot_p50_s,U_mean,C_mean
0,0,steady,2,False,COMPLETE,0.3901102439634548,0.375,1.040293983902546,16,6.186113655567169,0.1170956109960874,,
1,0,steady,2,True,COMPLETE,0.3810399246520303,0.375,1.0161064657387475,16,6.461447067558765,0.1196938426544269,0.22088068181818182,7.0227272727272725
2,0,steady,4,False,COMPLETE,1.2084220991226702,0.75,1.6112294654968935,16,3.4164980854839087,0.14895107944806418,,
3,0,steady,4,True,COMPLETE,1.225283206204936,0.75,1.6337109416065814,16,3.3685662038624287,0.14727397461732228,0.3558097718253968,6.121031747923957
4,0,steady,8,False,COMPLETE,1.3960274044735164,0.625,2.233643847157626,16,1.9206071551889181,0.195394553989172,,
5,0,steady,8,True,COMPLETE,1.3998773891283411,0.625,2.239803822605346,16,1.914759736508131,0.19597288394967716,0.4782516891891892,5.7702220356142195
6,0,bursty,2,False,COMPLETE,0.39536677401512216,0.375,1.054311397373659,16,6.17914773710072,0.11557091350356738,,
7,0,bursty,2,True,COMPLETE,0.38905507797735495,0.375,1.0374802079396133,16,6.320847457274795,0.11667931551734606,0.22088068181818182,7.0227272727272725
8,0,bursty,4,False,COMPLETE,1.233831553156423,0.75,1.6451087375418973,16,3.334715412929654,0.14591620303690434,,
9,0,bursty,4,True,COMPLETE,1.2032661235936382,0.75,1.6043548314581841,16,3.3633624333888292,0.1503534725556771,0.3558097718253968,6.121031747923957
10,0,bursty,8,False,COMPLETE,1.0947094403366933,0.5,2.1894188806733865,16,1.9849077761173248,0.20005882556239762,,
11,0,bursty,8,True,COMPLETE,1.2380792486799859,0.5625,2.201029775431086,16,1.9673556089401245,0.19878092979391415,0.4782516891891892,5.7702220356142195
12,1,steady,8,True,COMPLETE,1.096959909611981,0.5,2.193919819223962,16,1.9621131774038076,0.2012450687587261,0.4782516891891892,5.7702220356142195
13,1,steady,8,False,COMPLETE,0.9584471249274712,0.4375,2.1907362855485055,16,1.9967173784971237,0.20153791743020216,,
14,1,steady,4,True,COMPLETE,1.2071291482430748,0.75,1.6095055309907667,16,3.4421978779137135,0.15040324106812478,0.3558097718253968,6.121031747923957
15,1,steady,4,False,COMPLETE,1.241907364263675,0.75,1.6558764856849,16,3.329362226650119,0.14502380788326263,,
16,1,steady,2,True,COMPLETE,0.38829757950836535,0.375,1.0354602120223075,16,6.273000672459602,0.11694017512102922,0.22088068181818182,7.0227272727272725
17,1,steady,2,False,COMPLETE,0.39524097855587925,0.375,1.0539759428156779,16,6.163795219734311,0.11484563536942005,,
18,1,bursty,8,True,COMPLETE,1.2536987018469041,0.5625,2.2287976921722743,16,1.970438977703452,0.19862951897084713,0.4782516891891892,5.7702220356142195
19,1,bursty,8,False,COMPLETE,1.5463275743585652,0.6875,2.2492037445215494,16,1.912586623802781,0.19493405284980933,,
20,1,bursty,4,True,COMPLETE,1.2261667448922915,0.75,1.634888993189722,16,3.3993958961218596,0.14675942845642567,0.3558097718253968,6.121031747923957
21,1,bursty,4,False,COMPLETE,1.2276365434131622,0.75,1.6368487245508831,16,3.2907940838485956,0.14819323606789112,,
22,1,bursty,2,True,COMPLETE,0.38198716244696285,0.375,1.018632433191901,16,6.321217905730009,0.11934440011779468,0.22088068181818182,7.0227272727272725
23,1,bursty,2,False,COMPLETE,0.3792420198523052,0.375,1.0113120529394806,16,6.4565338008105755,0.11855884989102682,,
